time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.613,310.0,78.25,-0.025689338235294117,9.803921568627451E-6
0.633,310.0,80.0,-0.008606675091911768,2.254901960784314E-4
0.65,310.0,78.0,-0.001450003829656867,3.03921568627451E-4
0.666,310.0,78.0,-0.0010454963235294159,3.2352941176470585E-4
0.686,309.75,80.0,-7.965686274509845E-4,3.2352941176470585E-4
0.703,309.0,78.25,-9.521484375000041E-4,3.03921568627451E-4
0.718,308.25,78.0,-9.210324754902002E-4,2.843137254901961E-4
0.736,306.0,80.25,-4.542930453431415E-4,3.529411764705882E-4
0.755,303.75,79.0,-0.0014188878676470629,2.647058823529412E-4
0.772,300.75,79.0,-0.0023834826899509845,3.1372549019607844E-4
0.789,297.5,81.25,-0.0016055836397058866,1.0784313725490197E-4
0.805,293.5,80.0,-9.210324754902002E-4,0.0
0.822,289.5,80.0,-0.0030369178921568667,1.2745098039215687E-4
0.837,284.5,80.75,-0.004157092524509808,1.0784313725490197E-4
0.854,279.0,81.0,-0.0074553844975490235,8.823529411764706E-5
0.87,273.5,82.0,-0.005370615042892161,8.823529411764705E-5
0.886,268.0,88.25,-0.013087373621323534,3.9215686274509805E-5
0.903,262.25,95.0,-0.01591892616421569,7.843137254901961E-5
0.919,255.5,95.25,-0.017070216758578435,2.941176470588235E-5
0.935,251.0,96.0,-0.016012274050245103,5.88235294117647E-5
0.952,247.0,96.0,-0.016665709252450985,8.823529411764705E-5
0.968,242.5,97.5,-0.016510129442401964,3.9215686274509805E-5
0.985,238.5,97.0,-0.01591892616421569,7.843137254901961E-5
1.001,233.5,97.0,-0.016510129442401964,3.9215686274509805E-5
1.018,229.5,97.75,-0.0152032590379902,5.882352941176471E-5
1.035,225.25,98.0,-0.014798751531862749,9.803921568627452E-5
1.05,220.5,98.0,-0.013771924785539218,2.941176470588235E-5
1.067,216.75,98.0,-0.011531575520833337,3.9215686274509805E-5
1.083,213.5,97.75,-0.01703910079656863,5.88235294117647E-5
1.099,209.5,98.0,-0.018470435049019608,3.9215686274509805E-5
1.116,205.0,98.0,-0.01993288526348039,5.882352941176471E-5
1.132,200.75,98.0,-0.01959060968137255,6.862745098039216E-5
1.149,196.5,98.0,-0.02127087162990196,6.862745098039217E-5
1.165,192.5,98.75,-0.020897480085784313,6.862745098039216E-5
1.181,188.5,98.0,-0.0223599303002451,6.862745098039216E-5
1.198,185.0,98.0,-0.02338675704656863,8.823529411764705E-5
1.214,181.25,99.0,-0.02428911994485294,7.843137254901961E-5
1.23,178.25,99.0,-0.024009076286764706,4.901960784313726E-5
1.247,175.25,99.0,-0.027089556525735293,4.901960784313726E-5
1.263,172.25,99.25,-0.02603161381740196,6.862745098039217E-5
1.28,169.75,100.0,-0.026871744791666666,3.9215686274509805E-5
1.296,167.5,99.75,-0.027805223651960784,4.901960784313726E-5
1.312,165.5,100.0,-0.027649643841911764,2.941176470588235E-5
1.329,163.75,100.0,-0.02848977481617647,4.901960784313726E-5
1.345,162.5,100.0,-0.029174325980392157,3.9215686274509805E-5
1.361,161.25,101.25,-0.029765529258578432,4.901960784313726E-5
1.378,160.25,100.0,-0.0295166015625,1.9607843137254903E-5
1.394,159.25,99.75,-0.030450080422794117,2.941176470588235E-5
1.411,158.25,99.25,-0.031539139093137256,4.901960784313726E-5
1.427,157.25,99.25,-0.031850298713235296,5.882352941176471E-5
1.443,156.25,99.5,-0.031850298713235296,6.862745098039217E-5
1.46,156.5,99.0,-0.0319125306372549,5.882352941176471E-5
1.476,156.0,99.0,-0.03119686351102941,6.862745098039216E-5
1.493,156.0,99.0,-0.03178806678921569,5.882352941176471E-5
1.509,156.5,99.0,-0.03169471890318627,5.88235294117647E-5
1.525,157.0,99.25,-0.031725834865196076,4.901960784313726E-5
1.542,157.0,101.0,-0.03228592218137255,5.88235294117647E-5
1.558,157.0,100.0,-0.032814893535539215,2.941176470588235E-5
1.574,157.75,100.0,-0.032223690257352944,3.9215686274509805E-5
1.591,158.0,100.0,-0.03228592218137255,3.9215686274509805E-5
1.607,158.5,100.0,-0.032223690257352944,2.941176470588235E-5
1.624,159.0,99.75,-0.031943646599264706,3.9215686274509805E-5
1.64,159.5,99.5,-0.03253484987745098,5.88235294117647E-5
1.659,160.5,100.25,-0.03169471890318627,3.9215686274509805E-5
1.68,161.0,100.25,-0.03300158930759804,1.9607843137254903E-5
1.697,161.75,99.0,-0.032317038143382354,3.9215686274509805E-5
1.714,162.0,99.0,-0.032317038143382354,5.882352941176471E-5
1.73,163.0,101.5,-0.030885703890931374,6.862745098039217E-5
1.746,163.5,99.0,-0.0318814146752451,9.803921568627451E-6
1.763,164.0,99.0,-0.03197476256127451,3.9215686274509805E-5
1.779,165.0,99.0,-0.03200587852328431,6.862745098039217E-5
1.796,165.5,99.0,-0.031103515625,4.901960784313726E-5
