time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.008,-18.734,130.0,0.8327105796946727,0.013934578840610654,-6.036496629901961E-4
0.057,0.049,208.0,319.2000575184702,-0.6384409178553454,-6.036496629901961E-4
0.074,0.017,208.0,319.2000575184702,-0.6438673188331594,4.9785539215686274E-5
0.09,0.016,208.0,319.2000575184702,-0.648974519753455,-2.9249004289215685E-4
0.106,0.016,208.0,319.2000575184702,-0.6540817206737505,1.1201746323529411E-4
0.122,0.016,208.0,318.36734693877554,-0.6575101770653816,-4.4806985294117645E-4
0.139,0.017,208.0,0.0,-0.02077548318783049,-1.3691023284313726E-4
0.155,0.016,208.0,0.0,-0.02077548318783049,-7.467830882352942E-5
0.172,0.017,208.0,0.0,-0.02077548318783049,-6.658815870098039E-4
0.188,0.016,208.0,0.0,-0.02077548318783049,-7.903454350490196E-4
0.204,0.016,208.0,0.0,-0.02077548318783049,-6.036496629901961E-4
0.221,0.017,208.0,0.0,-0.02077548318783049,-6.036496629901961E-4
0.237,0.016,208.25,3.125,-0.02707548318783049,-7.592294730392157E-4
0.254,0.017,208.0,0.18382352941176486,-0.02119625524665402,-1.3691023284313726E-4
0.27,0.016,208.0,0.18382352941176486,-0.02119919642312461,-2.6137408088235293E-4
0.286,0.016,208.0,0.18382352941176486,-0.021202137599595196,2.6759727328431375E-4
0.307,0.021,208.0,0.18382352941176486,-0.021205997893712844,2.6759727328431375E-4
0.323,0.016,208.0,-2.941176470588235,-0.014908939070183435,1.8669577205882354E-5
0.34,0.017,208.5,5.88235294117647,-0.032655997893712846,2.0536534926470588E-4
0.356,0.016,208.0,-0.3676470588235297,-0.02015011554077167,-3.547219669117647E-4
0.372,0.016,208.0,-0.3676470588235297,-0.020144233187830495,-2.3025811887254901E-4
0.389,0.017,208.0,-0.3676470588235297,-0.020137983187830496,-2.9249004289215685E-4
0.405,0.016,208.0,-0.3676470588235297,-0.02013210083488932,1.8669577205882354E-5
0.421,0.016,208.0,-6.25,-0.00826739495253638,-3.236060049019608E-4
0.438,0.017,208.0,0.0,-0.02076739495253638,-3.858379289215686E-4
0.454,0.016,208.0,0.0,-0.02076739495253638,-3.858379289215686E-4
0.471,0.017,208.0,0.0,-0.02076739495253638,-6.036496629901961E-4
0.487,0.016,208.0,0.0,-0.02076739495253638,2.6759727328431375E-4
0.503,0.016,208.0,0.0,-0.02076739495253638,-6.969975490196079E-4
0.52,0.017,208.0,0.0,-0.02076739495253638,2.9871323529411767E-4
0.536,0.016,208.0,0.0,-0.02076739495253638,-1.3691023284313726E-4
0.553,0.017,208.0,0.0,-0.02076739495253638,1.4313342524509805E-4
0.569,0.016,208.0,0.0,-0.02076739495253638,-6.969975490196079E-4
0.585,0.016,208.0,0.0,-0.02076739495253638,-4.7918581495098037E-4
0.602,0.017,208.0,0.0,-0.02076739495253638,-6.969975490196079E-4
0.618,0.016,208.0,0.0,-0.02076739495253638,-2.6137408088235293E-4
0.634,0.016,208.0,0.0,-0.02076739495253638,-3.858379289215686E-4
0.651,0.017,208.0,0.0,-0.02076739495253638,-2.9249004289215685E-4
0.667,0.016,208.0,0.0,-0.02076739495253638,-0.0011015050551470588
0.684,0.017,208.0,0.0,-0.02076739495253638,-2.6137408088235293E-4
0.7,0.016,208.0,0.0,-0.02076739495253638,1.4313342524509805E-4
0.716,0.016,208.0,0.0,-0.02076739495253638,4.2317708333333335E-4
0.733,0.017,208.0,0.0,-0.02076739495253638,-2.6137408088235293E-4
0.749,0.016,208.0,0.0,-0.02076739495253638,-2.6137408088235293E-4
0.766,0.017,208.0,0.0,-0.02076739495253638,-7.281135110294118E-4
0.782,0.016,208.0,0.0,-0.02076739495253638,6.409888174019608E-4
0.798,0.016,208.0,0.0,-0.02076739495253638,-7.467830882352942E-5
0.814,0.016,208.0,0.0,-0.02076739495253638,-4.356234681372549E-5
0.83,0.016,208.0,0.0,-0.02076739495253638,-9.148092830882353E-4
0.846,0.016,208.0,0.0,-0.02076739495253638,-2.9249004289215685E-4
0.864,0.018,208.0,0.0,-0.02076739495253638,-9.459252450980392E-4
0.88,0.016,208.0,0.0,-0.02076739495253638,-4.356234681372549E-5
0.896,0.016,208.0,0.0,-0.02076739495253638,-6.969975490196079E-4
0.913,0.017,208.0,0.0,-0.02076739495253638,-7.281135110294118E-4
0.936,0.023,207.5,-4.3478260869565215,-0.47000000000000003,-4.4806985294117645E-4
0.953,0.017,208.0,1.5345268542199484,-0.47200000000000003,-1.991421568627451E-4
0.969,0.016,208.0,1.5345268542199484,-0.47200000000000003,-0.0012570848651960785
0.986,0.017,208.0,1.5345268542199484,-0.47200000000000003,-4.7918581495098037E-4
1.006,0.02,208.0,1.5345268542199484,-0.47200000000000003,-4.1695389093137253E-4
1.023,0.017,208.0,5.88235294117647,-0.47200000000000003,1.7424938725490197E-4
1.039,0.016,208.0,0.0,-0.47200000000000003,-3.236060049019608E-4
1.055,0.016,208.0,0.0,-0.47200000000000003,-1.3691023284313726E-4
1.072,0.017,208.0,0.0,-0.47200000000000003,8.09015012254902E-5
1.088,0.016,208.0,0.0,-0.47200000000000003,-6.036496629901961E-4
1.105,0.017,208.0,0.0,-0.47200000000000003,-8.214613970588235E-4
1.122,0.017,208.0,0.0,-0.47200000000000003,-4.4806985294117645E-4
1.137,0.015,208.0,0.0,-0.47200000000000003,-3.547219669117647E-4
1.154,0.017,208.0,0.0,-0.47200000000000003,-1.2446384803921568E-5
1.17,0.016,208.0,0.0,-0.47200000000000003,-1.2446384803921568E-5
1.186,0.016,208.0,0.0,-0.47200000000000003,1.4313342524509805E-4
1.203,0.017,208.0,0.0,-0.47200000000000003,1.8669577205882354E-5
1.219,0.016,208.0,0.0,-0.47200000000000003,1.1201746323529411E-4
1.236,0.017,208.0,0.0,-0.47200000000000003,-7.281135110294118E-4
1.252,0.016,208.0,0.0,-0.47200000000000003,-5.414177389705883E-4
1.268,0.016,208.0,0.0,-0.47200000000000003,1.4313342524509805E-4
1.285,0.017,208.0,0.0,-0.47200000000000003,-4.1695389093137253E-4
1.301,0.016,208.0,0.0,-0.47200000000000003,-2.6137408088235293E-4
1.318,0.017,208.0,0.0,-0.47200000000000003,0.010722560508578432
1.334,0.016,208.0,0.0,-0.47200000000000003,0.022795553768382354
1.35,0.016,208.0,0.0,-0.47200000000000003,0.023075597426470588
1.367,0.017,208.0,0.0,-0.47200000000000003,0.018314855238970588
1.383,0.016,208.0,0.0,-0.47200000000000003,0.011158183976715686
1.399,0.016,207.5,-6.25,-0.47000000000000003,0.010193589154411764
1.416,0.017,206.75,-15.073529411764707,-0.467,0.009664617800245098
1.432,0.016,204.5,-43.19852941176471,-0.458,0.008731138939950981
1.449,0.017,202.5,-66.72794117647058,-0.45,0.010411400888480393
1.465,0.016,200.0,-97.97794117647058,-0.44,0.009135646446078432
1.481,0.016,196.5,-135.47794117647058,-0.426,0.010847024356617647
1.498,0.017,192.25,-176.65441176470588,-0.40900000000000003,0.01134487974877451
1.514,0.016,187.75,-204.77941176470588,-0.391,0.015483302696078432
1.53,0.016,182.25,-250.0,-0.369,0.016945752910539215
