time,delta,elbow_angle,elbow_velocity,elbow_torque
0.014,-55.171,153.0,-0.5546392126298236,0.0
0.062,0.048,174.75,90.07036078737018,0.0
0.078,0.016,175.0,93.19536078737018,0.0
0.096,0.018,175.0,93.19536078737018,0.0
0.111,0.015,175.0,93.19536078737018,0.0
0.128,0.017,174.75,90.80882352941177,0.0
0.144,0.016,174.75,0.18382352941176486,0.0
0.16,0.016,175.0,0.18382352941176486,0.0
0.177,0.017,175.0,0.18382352941176486,0.0
0.193,0.016,175.0,0.18382352941176486,0.0
0.21,0.017,175.0,3.125,0.0
0.227,0.017,175.0,3.125,0.0
0.242,0.015,175.0,0.0,0.0
0.259,0.017,174.75,-2.941176470588235,0.0
0.279,0.02,175.0,-0.44117647058823517,0.0
0.296,0.017,175.0,-0.44117647058823517,0.0
0.316,0.02,175.0,-0.44117647058823517,0.0
0.332,0.016,175.0,-0.44117647058823517,0.0
0.35,0.018,175.0,2.5,0.0
0.365,0.015,175.0,0.0,0.0
0.382,0.017,175.0,0.0,0.0
0.398,0.016,175.0,0.0,0.0
0.414,0.016,175.0,0.0,0.0
0.431,0.017,175.0,0.0,0.0
0.447,0.016,175.0,0.0,0.0
0.463,0.016,175.0,0.0,0.0
0.48,0.017,175.0,0.0,0.0
0.496,0.016,175.0,0.0,0.0
0.515,0.019,175.0,0.0,0.0
0.533,0.018,174.75,-2.7777777777777777,0.0
0.549,0.016,174.75,-2.7777777777777777,0.0
0.566,0.017,175.0,0.1633986928104573,0.0
0.582,0.016,175.0,0.1633986928104573,0.0
0.599,0.017,175.0,0.1633986928104573,0.0
0.615,0.016,175.0,2.941176470588235,0.0
0.631,0.016,174.75,-0.18382352941176486,0.0
0.648,0.017,175.0,-0.18382352941176486,0.0
0.664,0.016,175.0,-0.18382352941176486,0.0
0.681,0.017,175.0,-0.18382352941176486,0.0
0.697,0.016,175.0,-0.18382352941176486,0.0
0.713,0.016,175.0,2.941176470588235,0.0
0.73,0.017,175.0,0.0,0.0
0.746,0.016,175.0,0.0,0.0
0.762,0.016,174.5,-6.25,0.0
0.779,0.017,175.0,-0.3676470588235297,0.0
0.795,0.016,175.0,-0.3676470588235297,0.0
0.812,0.017,175.0,-0.3676470588235297,0.0
0.828,0.016,175.0,-0.3676470588235297,0.0
0.844,0.016,175.0,5.88235294117647,0.0
0.861,0.017,175.0,0.0,0.0
0.877,0.016,175.0,0.0,0.0
0.894,0.017,175.0,0.0,0.0
