time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.279,301.0,79.25,-0.0263427734375,9.803921568627451E-6
0.299,301.0,81.25,0.011463120404411765,9.31372549019608E-4
0.316,301.0,79.0,0.025371955422794117,0.001362745098039216
0.332,301.0,79.0,0.025185259650735294,-1.5686274509803922E-4
0.349,300.0,79.0,0.02356722962622549,-9.803921568627451E-6
0.365,299.5,79.0,0.016099398743872548,9.803921568627452E-5
0.382,298.0,79.75,0.0021283318014705837,1.7647058823529413E-4
0.398,296.0,80.0,-0.001418887867647063,1.764705882352941E-4
0.414,293.75,80.0,-0.0075487323835784345,1.8627450980392157E-4
0.431,290.25,80.0,-0.006957529105392161,1.666666666666667E-4
0.448,285.0,83.25,-0.009757965686274515,1.2745098039215687E-4
0.464,280.0,81.0,-0.005090571384803925,1.3725490196078434E-4
0.484,272.75,84.75,-0.01234059053308824,6.862745098039217E-5
0.5,266.0,85.5,-0.013585229013480396,8.823529411764705E-5
0.517,259.0,95.0,-0.011749387254901964,3.9215686274509805E-5
0.533,251.25,95.25,-0.010940372242647062,8.823529411764706E-5
0.549,244.0,96.0,-0.01084702435661765,7.843137254901961E-5
0.566,236.5,96.75,-0.016759057138480395,2.941176470588235E-5
0.582,230.75,97.0,-0.01912387025122549,8.823529411764705E-5
0.599,226.75,97.5,-0.013025141697303925,1.9607843137254903E-5
0.615,224.25,97.75,-0.015794462316176473,6.862745098039217E-5
0.631,221.75,98.75,-0.017070216758578435,8.823529411764705E-5
0.648,218.25,98.0,-0.016043390012254907,1.9607843137254903E-5
0.664,215.25,98.0,-0.012589518229166671,8.823529411764706E-5
0.681,211.5,98.0,-0.010504748774509808,8.823529411764705E-5
0.697,207.25,98.0,-0.007362036611519612,7.84313725490196E-5
0.713,202.0,98.0,-0.006272977941176475,1.4705882352941175E-4
0.73,197.25,98.75,-0.009789081648284318,7.843137254901961E-5
0.746,191.5,99.0,-0.012465054381127456,1.666666666666667E-4
0.762,186.5,99.0,-0.013927504595588239,1.9607843137254904E-4
0.779,181.25,99.0,-0.011624923406862749,1.666666666666667E-4
0.795,177.0,99.0,-0.009042298560049023,2.352941176470588E-4
0.812,173.5,101.5,-0.012153894761029415,2.352941176470588E-4
0.828,169.5,99.5,-0.014798751531862749,2.156862745098039E-4
0.844,166.0,100.0,-0.012558402267156866,2.745098039215687E-4
0.861,160.75,100.0,-0.013740808823529415,1.9607843137254904E-4
0.877,155.75,100.5,-0.011904967064950985,1.9607843137254904E-4
0.894,150.75,101.0,-0.010411400888480396,1.4705882352941178E-4
0.91,146.5,101.5,-0.010753676470588239,1.3725490196078434E-4
0.926,142.5,102.0,-0.007019761029411768,1.2745098039215687E-4
0.943,138.5,102.75,-0.007393152573529415,8.823529411764706E-5
0.959,134.75,103.0,-0.011842735140931378,1.5686274509803922E-4
0.975,132.0,103.0,-0.014269780177696081,1.0784313725490196E-4
0.992,129.0,105.25,-0.013803040747549023,1.8627450980392157E-4
1.008,126.5,105.25,-0.010224705116421573,1.9607843137254904E-4
1.025,123.5,103.5,-0.009011182598039218,1.666666666666667E-4
1.041,120.75,104.0,-0.012869561887254905,2.647058823529412E-4
1.057,117.5,104.0,-0.010100241268382356,2.5490196078431374E-4
1.074,113.5,104.0,-0.0066152535232843175,1.8627450980392157E-4
1.09,110.0,104.0,-0.008917834712009808,2.843137254901961E-4
1.106,105.5,105.0,-0.005806238511029415,1.9607843137254904E-4
1.123,101.0,105.0,-0.009291226256127454,2.1568627450980395E-4
1.139,96.25,106.0,-0.0077665441176470625,2.2549019607843136E-4
1.156,91.5,106.0,-0.010753676470588239,1.666666666666667E-4
1.172,87.0,112.0,-0.00854444316789216,2.254901960784314E-4
1.188,83.0,119.0,-0.012247242647058827,1.5686274509803922E-4
1.205,79.5,119.0,-0.01090925628063726,2.0588235294117648E-4
1.221,75.5,119.0,-0.012931793811274513,2.0588235294117648E-4
1.238,71.75,119.25,-0.01402085248161765,1.666666666666667E-4
1.254,68.0,119.5,-0.013242953431372552,2.5490196078431374E-4
1.27,63.25,120.0,-0.015016563265931376,2.352941176470588E-4
1.287,59.25,120.0,-0.016665709252450985,2.254901960784314E-4
1.303,55.5,120.25,-0.017163564644607845,2.647058823529412E-4
1.319,51.5,121.0,-0.01582557827818628,2.2549019607843136E-4
1.339,47.75,121.5,-0.019964001225490195,2.352941176470588E-4
1.356,44.5,121.0,-0.018906058517156862,2.5490196078431374E-4
1.373,41.5,122.25,-0.020648552389705883,2.352941176470588E-4
1.389,38.5,122.0,-0.022173234528186276,2.745098039215687E-4
1.406,35.25,122.25,-0.02158203125,2.0588235294117648E-4
1.422,32.75,123.0,-0.023075597426470588,2.647058823529412E-4
1.438,30.0,123.0,-0.023573452818627452,1.9607843137254904E-4
1.455,27.5,123.5,-0.023604568780637256,2.0588235294117648E-4
1.471,25.5,123.75,-0.025160366881127452,2.1568627450980392E-4
1.487,23.5,124.0,-0.025502642463235293,1.9607843137254904E-4
1.504,21.75,124.0,-0.02680951286764706,2.5490196078431374E-4
1.52,20.5,125.0,-0.02752517999387255,2.352941176470588E-4
1.537,20.5,125.0,-0.027587411917892157,2.5490196078431374E-4
1.553,21.0,125.0,-0.027960803462009805,2.843137254901961E-4
1.569,20.25,128.75,-0.027742991727941178,2.4509803921568627E-4
1.586,20.75,125.75,-0.028209731158088235,3.1372549019607844E-4
1.601,20.5,126.0,-0.027991919424019608,3.4313725490196074E-4
1.618,20.25,126.0,-0.02802303538602941,2.9411764705882356E-4
1.635,20.75,126.0,-0.028458658854166666,3.6274509803921567E-4
1.65,20.0,126.0,-0.027960803462009805,3.431372549019608E-4
1.667,20.5,126.5,-0.028271963082107842,3.6274509803921567E-4
1.684,20.25,127.0,-0.02752517999387255,3.333333333333334E-4
1.699,21.0,127.0,-0.02855200674019608,3.1372549019607844E-4
1.717,20.75,127.75,-0.028769818474264706,3.529411764705882E-4
1.732,20.75,128.0,-0.028054151348039215,3.1372549019607844E-4
1.749,20.0,133.75,-0.02752517999387255,3.1372549019607844E-4
1.765,20.25,129.0,-0.028054151348039215,3.0392156862745097E-4
1.781,20.25,129.0,-0.02808526731004902,2.647058823529412E-4
1.798,20.0,129.25,-0.02802303538602941,3.0392156862745097E-4
1.814,20.0,130.0,-0.028458658854166666,2.647058823529412E-4
1.83,20.0,142.0,-0.028365310968137256,3.235294117647059E-4
1.848,20.0,142.0,-0.0279296875,2.843137254901961E-4
1.863,20.0,143.0,-0.028209731158088235,2.352941176470588E-4
1.88,21.0,143.0,-0.0279296875,3.0392156862745097E-4
1.896,21.25,143.25,-0.028427542892156862,2.647058823529412E-4
1.912,22.0,144.0,-0.028271963082107842,3.235294117647059E-4
1.929,22.0,144.5,-0.027680759803921567,2.745098039215687E-4
1.945,22.0,145.0,-0.028209731158088235,2.5490196078431374E-4
1.962,23.0,144.75,-0.02752517999387255,3.6274509803921567E-4
1.978,23.0,145.0,-0.027587411917892157,2.843137254901961E-4
1.994,23.25,145.0,-0.02814749923406863,3.1372549019607844E-4
2.011,24.0,145.25,-0.02777410768995098,3.0392156862745097E-4
2.027,24.0,146.0,-0.027742991727941178,2.843137254901961E-4
2.043,24.0,146.0,-0.02808526731004902,3.333333333333334E-4
2.06,24.0,146.25,-0.027960803462009805,3.1372549019607844E-4
2.076,24.0,147.0,-0.028116383272058825,2.9411764705882356E-4
2.093,25.0,147.0,-0.027898571537990195,3.235294117647059E-4
2.109,25.0,147.25,-0.027649643841911764,2.647058823529412E-4
2.125,25.0,150.75,-0.027556295955882354,3.235294117647059E-4
2.142,25.0,148.0,-0.028116383272058825,3.1372549019607844E-4
2.158,25.0,148.0,-0.02786745557598039,3.0392156862745097E-4
2.175,25.0,149.0,-0.02802303538602941,3.0392156862745097E-4
2.191,25.75,149.0,-0.028054151348039215,2.843137254901961E-4
2.207,25.25,149.25,-0.02777410768995098,2.9411764705882356E-4
2.224,26.0,150.0,-0.02777410768995098,3.333333333333333E-4
2.24,26.0,150.0,-0.02786745557598039,3.1372549019607844E-4
2.256,26.0,150.0,-0.02802303538602941,2.941176470588235E-4
2.273,26.5,150.25,-0.028365310968137256,3.1372549019607844E-4
2.289,26.75,151.0,-0.027431832107843137,3.333333333333334E-4
2.306,26.5,153.25,-0.02855200674019608,3.5294117647058826E-4
2.322,27.0,151.5,-0.028832050398284313,3.1372549019607844E-4
2.338,27.0,152.0,-0.028520890778186276,3.235294117647059E-4
2.355,27.0,152.0,-0.029143210018382354,3.2352941176470585E-4
2.371,27.0,152.0,-0.028520890778186276,3.0392156862745097E-4
2.388,27.0,153.0,-0.02855200674019608,3.431372549019608E-4
2.404,27.0,153.0,-0.028520890778186276,3.1372549019607844E-4
2.42,27.0,153.25,-0.028178615196078432,3.235294117647059E-4
2.437,27.0,157.0,-0.028614238664215686,3.235294117647059E-4
2.453,27.0,166.0,-0.02839642693014706,3.529411764705882E-4
2.469,27.0,166.0,-0.028832050398284313,3.333333333333334E-4
2.486,27.0,166.5,-0.028365310968137256,3.1372549019607844E-4
2.502,27.0,167.25,-0.028334195006127452,3.7254901960784314E-4
2.519,27.0,167.0,-0.027742991727941178,3.03921568627451E-4
2.535,27.0,167.5,-0.028769818474264706,3.5294117647058826E-4
2.551,27.0,168.0,-0.028614238664215686,3.235294117647059E-4
2.568,27.0,168.0,-0.028987630208333334,3.0392156862745097E-4
2.584,27.0,168.0,-0.0287075865502451,3.529411764705882E-4
2.601,27.0,169.0,-0.02855200674019608,3.4313725490196074E-4
2.617,27.0,169.0,-0.02848977481617647,3.431372549019608E-4
2.633,27.0,169.25,-0.0279296875,3.823529411764706E-4
2.65,27.0,170.0,-0.028116383272058825,3.2352941176470585E-4
2.666,27.0,170.0,-0.029485485600490195,3.921568627450981E-4
2.682,27.0,172.5,-0.02889428232230392,3.333333333333334E-4
2.699,27.0,170.75,-0.028832050398284313,3.235294117647059E-4
2.715,27.0,171.0,-0.02982776118259804,3.7254901960784314E-4
2.732,27.0,171.0,-0.028614238664215686,3.235294117647059E-4
2.748,27.0,172.0,-0.030107804840686276,3.529411764705882E-4
2.764,27.0,172.0,-0.029174325980392157,3.529411764705882E-4
2.781,27.0,172.0,-0.028925398284313727,3.333333333333334E-4
2.797,27.0,173.0,-0.029392137714460784,3.921568627450981E-4
2.814,26.75,173.0,-0.029858877144607842,3.333333333333333E-4
2.83,26.75,173.0,-0.029921109068627452,3.823529411764706E-4
2.846,27.0,173.75,-0.02936102175245098,3.4313725490196074E-4
2.863,26.75,174.0,-0.029796645220588235,3.333333333333334E-4
2.879,26.5,176.25,-0.02967218137254902,3.7254901960784314E-4
2.895,26.5,174.75,-0.02982776118259804,3.333333333333333E-4
2.912,26.75,175.0,-0.03023226868872549,3.431372549019608E-4
2.928,26.75,175.25,-0.030574544270833334,3.5294117647058826E-4
2.944,27.0,175.75,-0.029858877144607842,3.333333333333334E-4
2.961,26.25,176.0,-0.030574544270833334,3.6274509803921567E-4
2.977,26.5,176.0,-0.03038784849877451,3.2352941176470585E-4
2.994,26.5,177.0,-0.02998334099264706,3.627450980392157E-4
3.01,26.75,177.0,-0.029921109068627452,3.235294117647059E-4
3.026,26.5,177.0,-0.030045572916666666,3.333333333333333E-4
3.043,26.0,183.5,-0.03063677619485294,3.4313725490196074E-4
3.058,26.25,186.75,-0.029796645220588235,3.4313725490196074E-4
3.075,26.75,190.0,-0.029578833486519608,3.333333333333334E-4
3.091,26.0,190.75,-0.02848977481617647,3.333333333333334E-4
3.107,26.5,191.0,-0.029703297334558825,3.1372549019607844E-4
3.125,26.25,191.0,-0.029267673866421567,3.7254901960784314E-4
3.141,26.75,191.75,-0.029889993106617645,3.333333333333333E-4
3.157,26.0,192.0,-0.029329905790441178,3.5294117647058826E-4
3.173,26.0,192.0,-0.028987630208333334,3.235294117647059E-4
3.189,26.0,192.75,-0.028987630208333334,2.9411764705882356E-4
3.206,26.0,193.0,-0.029641065410539215,3.1372549019607844E-4
3.222,26.0,193.0,-0.028520890778186276,3.529411764705882E-4
3.239,26.0,194.0,-0.028987630208333334,3.7254901960784314E-4
3.255,26.0,195.0,-0.02889428232230392,3.1372549019607844E-4
3.271,26.0,194.0,-0.028271963082107842,3.137254901960785E-4
3.288,26.0,195.0,-0.02839642693014706,3.333333333333333E-4
3.304,26.0,195.0,-0.028832050398284313,3.333333333333334E-4
3.32,26.0,195.0,-0.029143210018382354,3.333333333333334E-4
3.337,26.0,195.75,-0.02839642693014706,3.1372549019607844E-4
3.353,25.75,196.0,-0.0287075865502451,2.9411764705882356E-4
3.37,26.0,196.0,-0.02895651424632353,3.4313725490196074E-4
3.386,26.0,196.75,-0.028676470588235293,3.333333333333333E-4
3.402,26.0,197.0,-0.02880093443627451,3.1372549019607844E-4
3.419,25.5,197.25,-0.02904986213235294,2.8431372549019604E-4
3.435,25.5,202.0,-0.028925398284313727,2.745098039215687E-4
3.451,25.0,198.0,-0.029143210018382354,3.235294117647059E-4
3.468,25.0,198.25,-0.029423253676470588,3.333333333333334E-4
3.484,25.0,199.0,-0.028863166360294117,3.333333333333334E-4
3.501,25.0,199.0,-0.02960994944852941,3.1372549019607844E-4
3.517,25.0,199.0,-0.030014456954656862,3.03921568627451E-4
3.533,25.0,200.0,-0.029921109068627452,3.333333333333334E-4
3.55,25.0,200.0,-0.02982776118259804,3.235294117647059E-4
3.566,25.0,200.75,-0.02973441329656863,2.9411764705882356E-4
3.583,25.0,201.0,-0.029392137714460784,2.843137254901961E-4
3.599,25.0,204.0,-0.029329905790441178,2.647058823529412E-4
3.615,25.0,213.75,-0.0302945006127451,2.843137254901961E-4
3.632,25.0,214.0,-0.028738702512254903,2.9411764705882356E-4
3.648,25.0,214.0,-0.029143210018382354,2.9411764705882356E-4
3.664,25.0,214.0,-0.028863166360294117,3.7254901960784314E-4
3.681,25.0,214.75,-0.029143210018382354,2.9411764705882356E-4
3.697,25.0,215.0,-0.02967218137254902,3.5294117647058826E-4
3.714,25.0,215.5,-0.029547717524509805,3.03921568627451E-4
3.73,25.0,216.0,-0.030201152726715686,3.1372549019607844E-4
3.746,25.0,216.0,-0.02960994944852941,3.4313725490196074E-4
