time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
16.395,206.75,72.75,-0.03844688265931372,-3.6274509803921567E-4
0.034,257.0,86.0,-0.026747280943627452,-6.862745098039217E-5
0.053,257.0,81.0,-0.06455317478553922,-4.901960784313726E-5
0.069,257.0,81.0,-0.031134631587009808,3.9215686274509805E-5
0.086,257.0,81.0,-0.018283739276960788,6.862745098039217E-5
0.102,257.75,81.0,-0.018377087162990198,5.882352941176471E-5
0.118,258.0,81.0,-0.018252623314950985,7.843137254901961E-5
0.135,258.5,81.0,-0.017288028492647062,4.901960784313726E-5
0.151,258.5,81.0,-0.017941463694852944,6.862745098039217E-5
0.168,258.0,86.0,-0.015981158088235296,4.901960784313726E-5
0.184,257.25,86.25,-0.01815927542892157,9.803921568627451E-6
0.2,256.0,81.0,-0.018190391390931378,-2.941176470588235E-5
0.217,255.0,81.0,-0.018657130821078435,3.9215686274509805E-5
0.233,254.5,81.0,-0.018377087162990198,6.862745098039217E-5
0.249,254.0,81.0,-0.017381376378676473,7.843137254901961E-5
0.266,253.5,81.0,-0.016759057138480395,6.862745098039217E-5
0.282,252.5,81.0,-0.016759057138480395,7.843137254901961E-5
0.299,251.25,81.0,-0.01710133272058824,4.901960784313726E-5
0.315,249.5,81.0,-0.018159275428921567,7.843137254901961E-5
0.331,248.25,81.0,-0.016790173100490198,7.843137254901961E-5
0.348,246.75,81.0,-0.01775476792279412,7.843137254901961E-5
0.364,245.5,83.5,-0.018719362745098042,6.862745098039216E-5
0.38,244.5,81.0,-0.018874942555147062,3.9215686274509805E-5
0.397,243.0,81.0,-0.018128159466911768,5.882352941176471E-5
0.413,241.5,81.0,-0.019061638327205886,7.843137254901961E-5
0.43,239.75,81.0,-0.01856378293504902,5.88235294117647E-5
0.446,238.0,81.0,-0.019466145833333334,7.843137254901961E-5
0.462,236.5,81.0,-0.018688246783088235,6.862745098039217E-5
0.479,234.75,81.0,-0.01899940640318628,7.843137254901961E-5
0.495,233.75,81.0,-0.020741900275735293,3.9215686274509805E-5
0.512,232.25,81.0,-0.019808421415441178,7.843137254901961E-5
0.528,230.75,81.0,-0.02102194393382353,7.843137254901961E-5
0.544,229.5,81.0,-0.01927945006127451,6.862745098039217E-5
0.561,228.0,83.5,-0.021333103553921567,5.882352941176471E-5
0.577,226.5,81.0,-0.020990827971813727,4.901960784313726E-5
0.593,224.75,81.0,-0.021239755667892157,6.862745098039216E-5
0.61,223.5,81.0,-0.021830958946078432,5.88235294117647E-5
0.626,221.75,81.0,-0.02285778569240196,7.843137254901961E-5
0.643,220.25,81.0,-0.02204877068014706,5.88235294117647E-5
0.659,219.5,81.0,-0.023044481464460784,7.843137254901961E-5
0.675,218.0,81.0,-0.023697916666666666,7.843137254901961E-5
0.692,216.5,81.0,-0.023448988970588235,7.843137254901961E-5
0.708,215.5,81.0,-0.023448988970588235,6.862745098039217E-5
0.725,214.25,81.0,-0.02435135186887255,7.843137254901961E-5
0.741,213.25,86.0,-0.024226888020833334,7.843137254901961E-5
0.757,212.25,83.5,-0.023666800704656862,9.803921568627451E-6
0.774,211.25,81.0,-0.02428911994485294,9.803921568627451E-6
0.79,210.5,81.0,-0.02404019224877451,4.901960784313726E-5
0.806,209.5,81.0,-0.024413583792892157,5.88235294117647E-5
0.823,208.75,81.0,-0.024538047640931374,4.901960784313726E-5
0.839,207.75,81.0,-0.025347062653186276,7.843137254901961E-5
0.856,207.0,81.0,-0.025129250919117645,4.901960784313726E-5
0.872,206.25,81.0,-0.026093845741421567,3.9215686274509805E-5
0.888,205.25,81.0,-0.02656058517156863,7.843137254901961E-5
0.905,205.0,81.0,-0.026218309589460784,5.882352941176471E-5
0.921,205.0,81.0,-0.027182904411764706,6.862745098039217E-5
0.938,204.25,83.5,-0.027151788449754903,7.843137254901961E-5
0.954,204.0,81.0,-0.026405005361519608,4.901960784313726E-5
0.97,203.5,81.0,-0.027182904411764706,6.862745098039216E-5
0.987,203.0,81.0,-0.02721402037377451,6.862745098039217E-5
1.003,203.0,81.0,-0.027400716145833334,6.862745098039217E-5
1.019,203.0,81.0,-0.027027324601715686,5.88235294117647E-5
1.036,203.0,81.0,-0.02736960018382353,6.862745098039217E-5
1.052,203.0,81.0,-0.027742991727941178,7.843137254901961E-5
1.068,203.0,81.0,-0.026840628829656862,3.9215686274509805E-5
1.085,202.5,81.0,-0.027960803462009805,7.843137254901961E-5
1.101,203.0,81.0,-0.027182904411764706,5.88235294117647E-5
1.117,202.5,81.0,-0.02730736825980392,5.88235294117647E-5
1.137,203.0,86.0,-0.02680951286764706,6.862745098039217E-5
1.154,203.0,81.0,-0.0271206724877451,2.941176470588235E-5
1.17,203.0,81.0,-0.026840628829656862,3.9215686274509805E-5
1.186,203.0,81.0,-0.026996208639705883,3.9215686274509805E-5
1.203,203.0,81.0,-0.026996208639705883,7.843137254901961E-5
1.219,203.0,81.0,-0.026778396905637256,5.882352941176471E-5
1.236,203.0,81.0,-0.027245136335784313,5.882352941176471E-5
1.252,203.0,81.0,-0.027338484221813727,6.862745098039217E-5
1.268,202.75,81.0,-0.02736960018382353,6.862745098039217E-5
1.285,203.0,81.0,-0.026747280943627452,3.9215686274509805E-5
1.301,203.0,81.0,-0.027089556525735293,7.843137254901961E-5
1.317,202.5,86.0,-0.026591701133578432,4.901960784313726E-5
1.334,202.75,81.0,-0.027151788449754903,0.0
1.35,202.75,81.0,-0.0263427734375,1.96078431372549E-5
1.367,203.0,81.0,-0.02721402037377451,4.901960784313726E-5
1.383,203.0,81.0,-0.026747280943627452,6.862745098039217E-5
1.399,203.0,81.0,-0.0263427734375,5.88235294117647E-5
1.416,203.0,81.0,-0.026933976715686276,7.843137254901961E-5
1.432,203.0,81.0,-0.026622817095588235,6.862745098039216E-5
1.449,203.0,81.0,-0.026840628829656862,6.862745098039217E-5
1.465,203.0,81.0,-0.026529469209558825,5.882352941176471E-5
1.481,202.75,81.0,-0.026622817095588235,6.862745098039217E-5
1.498,202.25,83.5,-0.027431832107843137,6.862745098039217E-5
1.514,203.0,81.0,-0.02696509267769608,4.901960784313726E-5
1.53,203.0,81.0,-0.027027324601715686,4.901960784313726E-5
1.547,203.0,81.0,-0.026093845741421567,6.862745098039216E-5
1.563,203.0,81.0,-0.02690286075367647,7.843137254901961E-5
1.58,203.0,81.0,-0.027276252297794117,6.862745098039217E-5
1.596,203.0,81.0,-0.026249425551470588,6.862745098039216E-5
1.612,203.0,81.0,-0.026996208639705883,6.862745098039217E-5
1.629,203.0,81.0,-0.0263427734375,5.882352941176471E-5
1.645,203.0,81.0,-0.026124961703431374,5.88235294117647E-5
1.662,203.0,81.0,-0.02665393305759804,6.862745098039217E-5
1.678,203.0,81.0,-0.026529469209558825,7.843137254901961E-5
1.694,203.0,86.0,-0.026622817095588235,7.843137254901961E-5
1.711,203.0,81.0,-0.026311657475490195,9.803921568627451E-6
1.727,203.0,81.0,-0.026747280943627452,5.88235294117647E-5
1.743,202.75,81.0,-0.026747280943627452,7.843137254901961E-5
1.76,202.75,81.0,-0.027276252297794117,8.823529411764706E-5
1.776,203.0,81.0,-0.02690286075367647,7.843137254901961E-5
1.793,202.75,81.0,-0.02705844056372549,7.843137254901961E-5
1.809,203.0,81.0,-0.026840628829656862,7.843137254901961E-5
1.825,203.0,81.0,-0.026840628829656862,6.862745098039217E-5
1.842,203.0,81.25,-0.02680951286764706,7.843137254901961E-5
1.858,203.0,81.0,-0.026871744791666666,5.88235294117647E-5
1.874,202.75,83.5,-0.026716164981617645,5.882352941176471E-5
