time,delta,elbow_angle,elbow_velocity,elbow_torque
0.017,0.017,205.5,2417.6470588235293,0.06457666452124429
0.083,0.066,205.0,2416.131907308378,0.06339273926110489
0.1,0.017,205.75,2424.9554367201426,0.06516678861066254
0.116,0.016,205.25,2418.7054367201426,0.06398531098521869
0.132,0.016,205.0,2415.5804367201426,0.06339273926110489
0.149,0.017,205.5,3.815730837789661,0.06457666452124429
0.168,0.019,205.5,5.330882352941177,0.06457666452124429
0.186,0.018,205.0,-9.048202614379084,0.06339273926110489
0.202,0.016,205.5,3.451797385620915,0.06457666452124429
0.218,0.016,205.25,3.451797385620915,0.06398531098521869
0.235,0.017,205.5,0.510620915032679,0.06457666452124429
0.251,0.016,205.5,0.510620915032679,0.06457666452124429
0.268,0.017,205.5,6.066176470588235,0.06457666452124429
0.287,0.019,205.5,-0.18382352941176486,0.06457666452124429
0.304,0.017,205.25,0.0,0.06398531098521869
0.321,0.017,205.0,-5.88235294117647,0.06339273926110489
0.337,0.016,205.5,0.36764705882353005,0.06457666452124429
0.353,0.016,205.25,-2.75735294117647,0.06398531098521869
0.369,0.016,205.0,-5.882352941176469,0.06339273926110489
0.386,0.017,206.0,8.823529411764707,0.06575567201836156
0.402,0.016,205.25,2.3897058823529407,0.06398531098521869
0.418,0.016,205.0,-6.98529411764706,0.06339273926110489
0.435,0.017,205.75,4.963235294117647,0.06516678861066254
0.451,0.016,205.0,-1.2867647058823521,0.06339273926110489
0.468,0.017,205.5,-7.169117647058823,0.06457666452124429
0.484,0.016,205.0,-4.044117647058824,0.06339273926110489
0.5,0.016,205.75,8.455882352941178,0.06516678861066254
0.517,0.017,205.5,-3.3088235294117645,0.06457666452124429
0.533,0.016,205.0,-0.1838235294117645,0.06339273926110489
0.549,0.016,205.75,3.3088235294117654,0.06516678861066254
0.566,0.017,205.0,0.7352941176470594,0.06339273926110489
0.582,0.016,205.5,-2.3897058823529407,0.06457666452124429
0.599,0.017,205.5,0.5514705882352942,0.06457666452124429
0.615,0.016,205.25,3.6764705882352944,0.06398531098521869
0.631,0.016,205.75,0.5514705882352942,0.06516678861066254
0.648,0.017,205.0,0.5514705882352942,0.06339273926110489
0.664,0.016,205.75,3.6764705882352944,0.06516678861066254
0.681,0.017,205.0,-5.147058823529411,0.06339273926110489
0.697,0.016,205.75,7.352941176470589,0.06516678861066254
0.713,0.016,205.5,-2.0220588235294117,0.06457666452124429
0.73,0.017,205.5,6.801470588235294,0.06457666452124429
0.746,0.016,205.25,-5.698529411764706,0.06398531098521869
0.762,0.016,205.25,3.125,0.06398531098521869
0.779,0.017,205.75,-0.3676470588235297,0.06516678861066254
0.795,0.016,205.0,-6.617647058823531,0.06339273926110489
0.812,0.017,205.5,-0.7352941176470594,0.06457666452124429
0.832,0.02,205.5,2.3897058823529407,0.06457666452124429
0.848,0.016,205.0,-3.8602941176470593,0.06339273926110489
0.865,0.017,205.5,-3.8602941176470593,0.06457666452124429
0.881,0.016,205.0,-0.7352941176470594,0.06339273926110489
0.898,0.017,205.25,-3.676470588235295,0.06398531098521869
0.914,0.016,205.0,-6.801470588235295,0.06339273926110489
0.93,0.016,205.25,2.5735294117647056,0.06398531098521869
0.947,0.017,205.5,-0.3676470588235297,0.06457666452124429
0.963,0.016,206.0,12.13235294117647,0.06575567201836156
0.983,0.02,205.75,6.691176470588235,0.06516678861066254
1.0,0.017,206.25,15.698529411764705,0.06634330353285021
1.016,0.016,207.0,21.948529411764703,0.06809857496093194
1.033,0.017,207.0,19.00735294117647,0.06809857496093194
1.049,0.016,207.0,12.75735294117647,0.06809857496093194
1.066,0.017,207.5,21.13970588235294,0.06926229198525506
1.082,0.016,208.0,21.50735294117647,0.07042073441788363
1.098,0.016,208.0,12.13235294117647,0.07042073441788363
1.115,0.017,208.0,12.13235294117647,0.07042073441788363
1.131,0.016,208.0,12.13235294117647,0.07042073441788363
1.147,0.016,208.0,6.25,0.07042073441788363
1.164,0.017,208.0,0.0,0.07042073441788363
1.18,0.016,208.0,0.0,0.07042073441788363
