time,delta,elbow_angle,elbow_velocity,elbow_torque
1.589,0.017,180.0,0.0,-2.2043642384652358E-17
1.605,0.016,180.0,0.0,-2.2043642384652358E-17
1.622,0.017,180.0,0.0,-2.2043642384652358E-17
1.638,0.016,180.0,0.0,-2.2043642384652358E-17
1.654,0.016,180.0,0.0,-2.2043642384652358E-17
1.671,0.017,180.0,0.0,-2.2043642384652358E-17
1.687,0.016,180.0,0.0,-2.2043642384652358E-17
1.703,0.016,180.0,0.0,-2.2043642384652358E-17
1.72,0.017,180.0,0.0,-2.2043642384652358E-17
1.736,0.016,179.75,-3.125,-7.85395671254356E-4
1.753,0.017,180.0,-0.18382352941176486,-2.2043642384652358E-17
1.769,0.016,180.0,-0.18382352941176486,-2.2043642384652358E-17
1.785,0.016,180.0,-0.18382352941176486,-2.2043642384652358E-17
1.802,0.017,180.0,-0.18382352941176486,-2.2043642384652358E-17
1.818,0.016,180.0,2.941176470588235,-2.2043642384652358E-17
1.835,0.017,180.0,0.0,-2.2043642384652358E-17
1.851,0.016,180.0,0.0,-2.2043642384652358E-17
1.867,0.016,180.0,0.0,-2.2043642384652358E-17
1.884,0.017,180.0,0.0,-2.2043642384652358E-17
1.9,0.016,180.0,0.0,-2.2043642384652358E-17
1.916,0.016,180.0,0.0,-2.2043642384652358E-17
1.933,0.017,180.0,0.0,-2.2043642384652358E-17
1.949,0.016,180.0,0.0,-2.2043642384652358E-17
1.966,0.017,180.0,0.0,-2.2043642384652358E-17
1.982,0.016,180.0,0.0,-2.2043642384652358E-17
1.998,0.016,180.0,0.0,-2.2043642384652358E-17
2.015,0.017,180.0,0.0,-2.2043642384652358E-17
2.031,0.016,180.0,0.0,-2.2043642384652358E-17
2.048,0.017,180.0,0.0,-2.2043642384652358E-17
2.064,0.016,180.0,0.0,-2.2043642384652358E-17
2.08,0.016,180.0,0.0,-2.2043642384652358E-17
2.097,0.017,180.0,0.0,-2.2043642384652358E-17
2.113,0.016,180.0,0.0,-2.2043642384652358E-17
2.129,0.016,180.0,0.0,-2.2043642384652358E-17
2.146,0.017,180.0,0.0,-2.2043642384652358E-17
2.162,0.016,180.0,0.0,-2.2043642384652358E-17
2.179,0.017,180.0,0.0,-2.2043642384652358E-17
2.195,0.016,180.0,0.0,-2.2043642384652358E-17
2.211,0.016,180.0,0.0,-2.2043642384652358E-17
2.228,0.017,180.0,0.0,-2.2043642384652358E-17
2.244,0.016,180.0,0.0,-2.2043642384652358E-17
2.261,0.017,180.0,0.0,-2.2043642384652358E-17
2.277,0.016,180.0,0.0,-2.2043642384652358E-17
2.293,0.016,180.0,0.0,-2.2043642384652358E-17
2.31,0.017,180.0,0.0,-2.2043642384652358E-17
2.326,0.016,180.0,0.0,-2.2043642384652358E-17
2.342,0.016,180.0,0.0,-2.2043642384652358E-17
2.36,0.018,180.0,0.0,-2.2043642384652358E-17
2.379,0.019,180.0,0.0,-2.2043642384652358E-17
2.396,0.017,180.0,0.0,-2.2043642384652358E-17
2.412,0.016,180.0,0.0,-2.2043642384652358E-17
2.428,0.016,180.0,0.0,-2.2043642384652358E-17
2.445,0.017,180.0,0.0,-2.2043642384652358E-17
2.461,0.016,180.0,0.0,-2.2043642384652358E-17
2.477,0.016,180.0,0.0,-2.2043642384652358E-17
2.494,0.017,180.0,0.0,-2.2043642384652358E-17
2.509,0.015,180.0,0.0,-2.2043642384652358E-17
