time,delta,elbow_angle,elbow_velocity,elbow_torque0.015,-34.145,140.0,-0.8200322155513252,0.0
0.076,0.061,160.25,65.57341040739949,0.0
0.093,0.017,160.0,62.63223393681126,0.0
0.109,0.016,160.0,62.63223393681126,0.0
0.126,0.017,160.0,62.63223393681126,0.0
0.142,0.016,160.0,63.45226615236258,0.0
0.158,0.016,160.5,3.3088235294117654,0.0
0.175,0.017,160.0,0.3676470588235297,0.0
0.192,0.017,160.25,3.3088235294117654,0.0
0.208,0.016,160.0,0.18382352941176522,0.0
0.224,0.016,160.0,0.18382352941176522,0.0
0.24,0.016,160.25,-2.941176470588235,0.0
0.257,0.017,160.0,0.0,0.0
0.273,0.016,160.0,-2.941176470588235,0.0
0.293,0.02,160.0,0.18382352941176486,0.0
0.31,0.017,160.25,3.1249999999999996,0.0
0.326,0.016,160.5,3.1249999999999996,0.0
0.343,0.017,160.0,0.1838235294117645,0.0
0.359,0.016,160.0,0.1838235294117645,0.0
0.375,0.016,160.75,9.558823529411764,0.0
0.392,0.017,160.0,-2.2058823529411766,0.0
0.408,0.016,160.0,-5.330882352941177,0.0
0.425,0.017,160.0,0.5514705882352942,0.0
0.441,0.016,160.0,0.5514705882352942,0.0
0.457,0.016,160.0,-8.823529411764707,0.0
0.474,0.017,160.25,2.941176470588235,0.0
0.49,0.016,160.25,2.941176470588235,0.0
0.506,0.016,160.0,-0.18382352941176486,0.0
0.523,0.017,160.0,-0.18382352941176486,0.0
0.539,0.016,160.25,2.941176470588235,0.0
0.556,0.017,160.0,-2.9411764705882346,0.0
0.572,0.016,160.0,-2.9411764705882346,0.0
0.588,0.016,160.0,0.18382352941176486,0.0
0.605,0.017,160.0,0.18382352941176486,0.0
0.621,0.016,160.0,-2.941176470588235,0.0
0.638,0.017,160.0,0.0,0.0
0.654,0.016,160.0,0.0,0.0
0.67,0.016,160.0,0.0,0.0
0.687,0.017,160.0,0.0,0.0
0.703,0.016,160.0,0.0,0.0
0.719,0.016,160.0,0.0,0.0
0.736,0.017,160.0,0.0,0.0
0.752,0.016,160.0,0.0,0.0
0.769,0.017,160.0,0.0,0.0
0.785,0.016,160.0,0.0,0.0
0.801,0.016,160.5,6.25,0.0
0.818,0.017,160.25,3.3088235294117654,0.0
0.834,0.016,160.0,0.18382352941176522,0.0
0.85,0.016,160.0,0.18382352941176522,0.0
0.867,0.017,160.0,0.18382352941176522,0.0
0.883,0.016,160.0,-6.066176470588235,0.0
0.9,0.017,160.0,-3.125,0.0
0.916,0.016,160.0,0.0,0.0
0.932,0.016,160.0,0.0,0.0
0.949,0.017,160.0,0.0,0.0
0.965,0.016,160.5,6.25,0.0
0.981,0.016,160.0,0.0,0.0
0.998,0.017,160.0,0.0,0.0
1.014,0.016,160.25,3.125,0.0
1.031,0.017,160.0,0.18382352941176486,0.0
1.047,0.016,160.0,-6.066176470588235,0.0
1.063,0.016,160.0,0.18382352941176486,0.0
1.079,0.016,160.0,0.18382352941176486,0.0
1.096,0.017,160.0,-2.941176470588235,0.0
1.112,0.016,160.0,0.0,0.0
1.129,0.017,160.0,0.0,0.0
1.144,0.015,160.0,0.0,0.0
1.162,0.018,160.0,0.0,0.0
1.177,0.015,160.0,0.0,0.0
1.194,0.017,160.75,8.823529411764707,0.0
1.21,0.016,160.0,-0.5514705882352942,0.0
1.227,0.017,160.0,-0.5514705882352942,0.0
1.243,0.016,160.0,-0.5514705882352942,0.0
1.259,0.016,160.0,-0.5514705882352942,0.0
1.276,0.017,160.0,-9.375,0.0
1.292,0.016,160.0,0.0,0.0
1.308,0.016,160.0,0.0,0.0
1.325,0.017,160.0,0.0,0.0
1.341,0.016,160.0,0.0,0.0
1.357,0.016,160.0,0.0,0.0
1.374,0.017,160.0,0.0,0.0
1.39,0.016,160.0,0.0,0.0
1.407,0.017,160.0,0.0,0.0
1.423,0.016,160.0,0.0,0.0
1.439,0.016,160.0,0.0,0.0
1.456,0.017,160.75,8.823529411764707,0.0
1.472,0.016,160.25,2.5735294117647056,0.0
1.488,0.016,160.5,5.698529411764706,0.0
1.505,0.017,160.0,-0.1838235294117645,0.0
1.521,0.016,160.0,-0.1838235294117645,0.0
1.538,0.017,160.0,-9.00735294117647,0.0
1.561,0.023,160.0,-2.75735294117647,0.0
1.579,0.018,160.0,-5.88235294117647,0.0
1.595,0.016,160.0,0.0,0.0
1.611,0.016,160.0,0.0,0.0
1.628,0.017,160.75,8.823529411764707,0.0
1.644,0.016,160.25,2.5735294117647056,0.0
1.66,0.016,160.0,-0.5514705882352942,0.0
1.677,0.017,160.0,-0.5514705882352942,0.0
1.693,0.016,160.0,-0.5514705882352942,0.0
1.713,0.02,160.75,-1.875,0.0
1.73,0.017,160.0,-4.448529411764706,0.0
1.746,0.016,160.0,-1.3235294117647058,0.0
1.763,0.017,160.0,-1.3235294117647058,0.0
1.779,0.016,160.0,-1.3235294117647058,0.0
1.796,0.017,160.0,-8.823529411764707,0.0
1.812,0.016,160.0,0.0,0.0
1.828,0.016,160.5,6.25,0.0
1.845,0.017,160.75,9.191176470588236,0.0
1.861,0.016,160.25,2.9411764705882346,0.0
1.878,0.017,160.0,0.0,0.0
1.894,0.016,160.0,0.0,0.0
1.91,0.016,160.5,0.0,0.0
1.927,0.017,160.0,-8.823529411764705,0.0
1.943,0.016,160.0,-2.573529411764705,0.0
1.959,0.016,160.0,0.3676470588235297,0.0
1.976,0.017,160.0,0.3676470588235297,0.0
1.992,0.016,160.0,-5.88235294117647,0.0
2.009,0.017,160.25,2.941176470588235,0.0
