time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.015,0.015,190.75,2543.3333333333335,0.5,-0.026062729779411764
0.072,0.057,218.0,2638.947368421053,0.5,-0.022515510110294117
0.089,0.017,218.0,2638.947368421053,0.5,-0.023542336856617645
0.105,0.016,218.0,2638.947368421053,0.5,-0.02419577205882353
0.121,0.016,218.0,2638.947368421053,0.5,-0.023977960324754903
0.138,0.017,218.0,95.6140350877193,0.5,-0.024102424172794117
0.154,0.016,218.0,0.0,0.5,-0.024506931678921567
0.171,0.017,218.0,0.0,0.5,-0.024413583792892157
0.187,0.016,218.5,6.25,0.5,-0.024662511488970588
0.203,0.016,218.0,0.0,0.5,-0.024880323223039215
0.22,0.017,218.0,0.0,0.5,-0.025004787071078432
0.236,0.016,218.0,0.0,0.5,-0.025409294577205883
0.252,0.016,218.0,0.0,0.5,-0.02537817861519608
0.269,0.017,218.0,-6.25,0.5,-0.024413583792892157
0.285,0.016,218.0,0.0,0.5,-0.026156077665441178
0.302,0.017,218.0,0.0,0.5,-0.02562710631127451
0.321,0.019,218.0,0.0,0.5,-0.023915728400735293
0.338,0.017,218.0,0.0,0.5,-0.026093845741421567
0.355,0.017,218.0,0.0,0.5,-0.02547152650122549
0.371,0.016,218.0,0.0,0.5,-0.02460027956495098
0.388,0.017,218.0,0.0,0.5,-0.025658222273284313
0.404,0.016,218.0,0.0,0.5,-0.02603161381740196
0.42,0.016,218.0,0.0,0.5,-0.026062729779411764
0.437,0.017,218.0,0.0,0.5,-0.025969381893382354
0.453,0.016,218.0,0.0,0.5,-0.025813802083333334
0.47,0.017,218.0,0.0,0.5,-0.025907149969362744
0.486,0.016,218.0,0.0,0.5,-0.025689338235294117
0.502,0.016,218.0,0.0,0.5,-0.026249425551470588
0.519,0.017,218.0,0.0,0.5,-0.025284830729166666
0.535,0.016,218.0,0.0,0.5,-0.02413354013480392
0.551,0.016,218.0,0.0,0.5,-0.024413583792892157
0.568,0.017,218.0,0.0,0.5,-0.025253714767156862
0.584,0.016,218.0,0.0,0.5,-0.026124961703431374
0.604,0.02,218.0,0.0,0.5,-0.025004787071078432
0.621,0.017,218.0,0.0,0.5,-0.02572045419730392
0.638,0.017,218.0,0.0,0.5,-0.02578268612132353
0.654,0.016,218.25,3.125,0.5,-0.02593826593137255
0.67,0.016,218.0,0.0,0.5,-0.026093845741421567
0.687,0.017,218.0,0.0,0.5,-0.025160366881127452
0.703,0.016,218.0,0.0,0.5,-0.025813802083333334
0.719,0.016,218.0,0.0,0.5,-0.02469362745098039
0.736,0.017,218.0,-3.125,0.5,-0.025689338235294117
0.752,0.016,218.0,0.0,0.5,-0.02572045419730392
0.769,0.017,218.0,0.0,0.5,-0.02587603400735294
0.785,0.016,218.0,0.0,0.5,-0.026093845741421567
0.801,0.016,218.0,0.0,0.5,-0.026685049019607842
0.818,0.017,218.0,0.0,0.5,-0.0255337584252451
0.834,0.016,218.0,0.0,0.5,-0.025409294577205883
0.85,0.016,218.0,0.0,0.5,-0.025502642463235293
0.867,0.017,218.0,0.0,0.5,-0.025689338235294117
0.883,0.016,218.0,0.0,0.5,-0.0255337584252451
0.899,0.016,218.25,3.125,0.5,-0.024724743412990195
0.915,0.016,218.0,0.0,0.5,-0.02603161381740196
0.931,0.016,218.0,0.0,0.5,-0.026124961703431374
0.949,0.018,218.0,0.0,0.5,-0.025969381893382354
0.964,0.015,218.0,0.0,0.5,-0.02593826593137255
0.981,0.017,218.0,-3.125,0.5,-0.02628054151348039
0.997,0.016,218.0,0.0,0.5,-0.026093845741421567
1.013,0.016,218.0,0.0,0.5,-0.025813802083333334
1.03,0.017,218.0,0.0,0.5,-0.02547152650122549
1.05,0.02,218.0,0.0,0.5,-0.025253714767156862
1.067,0.017,218.0,0.0,0.5,-0.02618719362745098
1.083,0.016,218.0,0.0,0.5,-0.025813802083333334
1.099,0.016,218.0,0.0,0.5,-0.025595990349264706
1.116,0.017,218.0,0.0,0.5,-0.026218309589460784
1.132,0.016,218.0,0.0,0.5,-0.025969381893382354
1.149,0.017,218.0,0.0,0.5,-0.02587603400735294
1.165,0.016,218.0,0.0,0.5,-0.02572045419730392
1.181,0.016,218.0,0.0,0.5,-0.026218309589460784
1.198,0.017,218.0,0.0,0.5,-0.026218309589460784
1.214,0.016,218.0,0.0,0.5,-0.025564874387254903
1.23,0.016,218.0,0.0,0.5,-0.02572045419730392
1.247,0.017,218.0,0.0,0.5,-0.024569163602941178
1.263,0.016,218.0,0.0,0.5,-0.025595990349264706
1.28,0.017,218.0,0.0,0.5,-0.02537817861519608
1.296,0.016,218.0,0.0,0.5,-0.0255337584252451
1.312,0.016,218.0,0.0,0.5,-0.025969381893382354
1.329,0.017,218.0,0.0,0.5,-0.026124961703431374
1.345,0.016,218.0,0.0,0.5,-0.025751570159313727
1.361,0.016,218.0,0.0,0.5,-0.026124961703431374
1.378,0.017,218.0,0.0,0.5,-0.02572045419730392
1.394,0.016,218.0,0.0,0.5,-0.02603161381740196
1.411,0.017,218.0,0.0,0.5,-0.023822380514705883
1.427,0.016,218.0,0.0,0.5,-0.024942555147058825
1.443,0.016,218.0,0.0,0.5,-0.02628054151348039
1.46,0.017,218.0,0.0,0.5,-0.026124961703431374
1.476,0.016,218.0,0.0,0.5,-0.02643612132352941
1.493,0.017,218.0,0.0,0.5,-0.02618719362745098
1.509,0.016,218.0,0.0,0.5,-0.026000497855392157
1.525,0.016,218.0,0.0,0.5,-0.025595990349264706
1.542,0.017,218.0,0.0,0.5,-0.02578268612132353
1.558,0.016,218.0,0.0,0.5,-0.025844918045343137
1.574,0.016,218.0,0.0,0.5,-0.026249425551470588
1.591,0.017,218.0,0.0,0.5,-0.025035903033088235
1.607,0.016,218.0,0.0,0.5,-0.024631395526960784
1.624,0.017,218.0,0.0,0.5,-0.025751570159313727
1.64,0.016,218.0,0.0,0.5,-0.026124961703431374
1.656,0.016,218.0,0.0,0.5,-0.02603161381740196
1.673,0.017,218.0,0.0,0.5,-0.025813802083333334
1.689,0.016,218.0,0.0,0.5,-0.02578268612132353
1.706,0.017,218.0,0.0,0.5,-0.02593826593137255
1.722,0.016,218.0,0.0,0.5,-0.025191482843137256
1.738,0.016,218.0,0.0,0.5,-0.02618719362745098
1.755,0.017,218.0,0.0,0.5,-0.025409294577205883
1.771,0.016,218.0,0.0,0.5,-0.02497367110906863
1.787,0.016,218.0,0.0,0.5,-0.024942555147058825
1.804,0.017,218.0,0.0,0.5,-0.026591701133578432
1.82,0.016,218.0,0.0,0.5,-0.025409294577205883
1.837,0.017,218.0,0.0,0.5,-0.02572045419730392
1.853,0.016,218.0,0.0,0.5,-0.02649835324754902
1.869,0.016,218.0,0.0,0.5,-0.025844918045343137
1.886,0.017,218.0,0.0,0.5,-0.025844918045343137
1.902,0.016,218.0,0.0,0.5,-0.02643612132352941
1.919,0.017,218.0,0.0,0.5,-0.02628054151348039
1.935,0.016,218.0,0.0,0.5,-0.025595990349264706
1.951,0.016,218.0,0.0,0.5,-0.02460027956495098
1.968,0.017,218.0,0.0,0.5,-0.025502642463235293
1.984,0.016,218.0,0.0,0.5,-0.0263427734375
2.0,0.016,218.0,0.0,0.5,-0.025658222273284313
2.017,0.017,218.0,0.0,0.5,-0.02628054151348039
2.033,0.016,218.0,0.0,0.5,-0.02547152650122549
2.049,0.016,218.0,0.0,0.5,-0.02562710631127451
2.066,0.017,218.0,0.0,0.5,-0.025751570159313727
2.081,0.015,218.0,0.0,0.5,-0.025595990349264706
2.098,0.017,218.0,0.0,0.5,-0.02537817861519608
2.114,0.016,218.5,6.25,0.5,-0.0255337584252451
2.131,0.017,218.0,0.3676470588235297,0.5,-0.024475815716911764
2.147,0.016,218.0,0.3676470588235297,0.5,-0.024569163602941178
2.163,0.016,218.0,0.3676470588235297,0.5,-0.026249425551470588
2.18,0.017,218.0,0.3676470588235297,0.5,-0.0263427734375
2.196,0.016,218.0,-5.88235294117647,0.5,-0.02587603400735294
2.212,0.016,218.0,0.0,0.5,-0.02537817861519608
2.229,0.017,218.0,0.0,0.5,-0.02628054151348039
2.245,0.016,218.0,0.0,0.5,-0.025284830729166666
2.262,0.017,218.0,0.0,0.5,-0.026000497855392157
2.278,0.016,218.0,0.0,0.5,-0.026218309589460784
2.294,0.016,218.0,0.0,0.5,-0.026124961703431374
2.311,0.017,218.0,0.0,0.5,-0.024631395526960784
2.327,0.016,218.0,0.0,0.5,-0.026093845741421567
2.343,0.016,218.0,0.0,0.5,-0.026000497855392157
2.36,0.017,218.0,0.0,0.5,-0.026062729779411764
2.376,0.016,218.0,0.0,0.5,-0.025969381893382354
2.393,0.017,218.0,0.0,0.5,-0.026093845741421567
2.409,0.016,218.0,0.0,0.5,-0.025409294577205883
2.425,0.016,218.0,0.0,0.5,-0.02587603400735294
2.442,0.017,218.0,0.0,0.5,-0.025969381893382354
2.458,0.016,218.0,0.0,0.5,-0.025751570159313727
2.475,0.017,218.0,0.0,0.5,-0.02578268612132353
2.491,0.016,218.0,0.0,0.5,-0.024413583792892157
2.507,0.016,218.0,0.0,0.5,-0.026311657475490195
2.524,0.017,218.0,0.0,0.5,-0.02547152650122549
2.54,0.016,218.0,0.0,0.5,-0.026093845741421567
2.556,0.016,218.0,0.0,0.5,-0.026124961703431374
2.577,0.021,218.0,0.0,0.5,-0.02618719362745098
2.593,0.016,218.0,0.0,0.5,-0.02587603400735294
2.614,0.021,218.25,2.3809523809523805,0.5,-0.0263427734375
2.63,0.016,218.0,-0.7440476190476193,0.5,-0.025595990349264706
2.647,0.017,218.25,2.197128851540616,0.5,-0.026249425551470588
2.663,0.016,218.5,5.322128851540616,0.5,-0.02547152650122549
2.685,0.022,218.0,0.7766743060860698,0.5,-0.026405005361519608
2.704,0.019,218.0,-1.6042780748663108,0.5,-0.026373889399509805
2.72,0.016,218.0,1.5207219251336888,0.5,-0.02587603400735294
2.737,0.017,218.0,-1.420454545454546,0.5,-0.025969381893382354
2.755,0.018,218.0,-4.545454545454546,0.5,-0.026062729779411764
2.774,0.019,218.0,0.0,0.5,-0.025595990349264706
2.79,0.016,218.0,0.0,0.5,-0.02537817861519608
2.806,0.016,218.0,0.0,0.5,-0.026405005361519608
2.823,0.017,218.0,0.0,0.5,-0.026000497855392157
2.839,0.016,218.0,0.0,0.5,-0.025098134957107842
2.855,0.016,218.0,0.0,0.5,-0.024226888020833334
2.872,0.017,218.0,0.0,0.5,-0.026093845741421567
