time,delta,elbow_angle,elbow_velocity,elbow_torque
0.072,-21.462,132.25,0.40769732550554466,0.00793460534898891
0.07,-0.002,176.0,-4374.592302674495,1.0
0.087,0.017,176.0,-4374.592302674495,1.0
0.107,0.02,176.0,-4374.592302674495,1.0
0.123,0.016,176.0,-4374.592302674495,1.0
0.14,0.017,176.0,-4375.0,1.0
0.156,0.016,176.0,0.0,0.30622920743639925
0.173,0.017,176.0,0.0,0.30622920743639925
0.189,0.016,176.0,0.0,0.30622920743639925
0.206,0.017,176.0,0.0,0.30622920743639925
0.224,0.018,176.0,0.0,0.30622920743639925
0.242,0.018,176.0,0.0,0.30622920743639925
0.259,0.017,176.0,0.0,0.30622920743639925
0.275,0.016,176.0,0.0,0.30622920743639925
0.295,0.02,176.25,2.5,0.30117920743639925
0.312,0.017,176.0,-0.44117647058823517,0.3070690603775757
0.328,0.016,176.0,-0.44117647058823517,0.3070761192011051
0.345,0.017,176.0,-0.44117647058823517,0.3070836192011051
0.361,0.016,176.0,-0.44117647058823517,0.3070906780246345
0.377,0.016,176.0,-2.941176470588235,0.3121377368481639
0.394,0.017,176.0,0.0,0.3062553839069875
0.41,0.016,176.0,0.0,0.3062553839069875
0.427,0.017,176.0,0.0,0.3062553839069875
0.443,0.016,176.0,0.0,0.3062553839069875
0.459,0.016,176.5,6.25,0.2936553839069875
0.476,0.017,176.0,0.3676470588235297,0.30541383978934045
0.492,0.016,176.0,0.3676470588235297,0.30540795743639926
0.508,0.016,176.0,0.3676470588235297,0.30540207508345807
0.525,0.017,176.0,0.3676470588235297,0.3053958250834581
0.541,0.016,176.0,-5.88235294117647,0.3179899427305169
0.558,0.017,176.0,0.0,0.30622523684816394
0.574,0.016,176.0,0.0,0.30622523684816394
0.59,0.016,176.0,0.0,0.30622523684816394
0.607,0.017,176.0,0.0,0.30622523684816394
0.623,0.016,176.0,0.0,0.30622523684816394
0.64,0.017,176.0,0.0,0.30622523684816394
0.656,0.016,176.0,0.0,0.30622523684816394
0.672,0.016,176.0,0.0,0.30622523684816394
0.689,0.017,176.0,0.0,0.30622523684816394
0.705,0.016,176.0,0.0,0.30622523684816394
0.721,0.016,176.0,0.0,0.30622523684816394
0.738,0.017,176.0,0.0,0.30622523684816394
0.754,0.016,176.5,6.25,0.29362523684816394
0.771,0.017,176.0,0.3676470588235297,0.3053836927305169
0.787,0.016,176.0,0.3676470588235297,0.3053778103775757
0.803,0.016,176.0,0.3676470588235297,0.30537192802463453
