time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.627,199.25,78.75,-0.01800369561887255,5.882352941176471E-5
0.648,194.5,78.75,-0.018812710631127452,3.9215686274509805E-5
0.664,190.5,77.0,-0.06072591145833333,8.235294117647058E-4
0.684,186.75,78.75,-0.04190075444240197,6.960784313725489E-4
0.701,183.25,78.75,-0.04995978860294118,-3.9215686274509805E-5
0.717,181.5,77.0,-0.050208716299019615,1.2745098039215687E-4
0.734,180.75,77.0,-0.05058210784313726,1.176470588235294E-4
0.75,180.5,77.0,-0.05073768765318628,1.5686274509803922E-4
0.767,181.0,77.0,-0.05058210784313726,2.0588235294117648E-4
0.783,181.0,77.0,-0.050613223805147066,1.5686274509803922E-4
0.799,180.5,77.0,-0.05076880361519608,2.352941176470588E-4
0.816,179.5,77.0,-0.051079963235294124,2.4509803921568627E-4
0.832,178.0,77.5,-0.05111107919730393,1.6666666666666666E-4
0.848,176.0,78.0,-0.05092438342524511,2.5490196078431374E-4
0.865,173.75,78.0,-0.051577818627450985,8.823529411764705E-5
0.881,172.5,81.25,-0.049586397058823534,2.745098039215687E-4
0.898,172.0,79.25,-0.05067545572916667,1.666666666666667E-4
0.914,171.5,80.0,-0.05073768765318628,5.882352941176471E-5
0.93,171.0,80.25,-0.05145335477941177,1.0784313725490196E-4
0.947,171.0,81.0,-0.05192009420955883,1.9607843137254903E-5
0.963,171.0,81.0,-0.05033318014705883,1.2745098039215687E-4
0.98,170.25,81.5,-0.05058210784313726,5.88235294117647E-5
0.996,170.0,82.0,-0.0508932674632353,5.88235294117647E-5
1.012,169.25,88.0,-0.05101773131127452,1.0784313725490196E-4
1.029,169.0,94.75,-0.05111107919730393,2.941176470588235E-5
1.045,168.5,95.0,-0.051702282475490205,9.80392156862745E-5
1.061,167.75,95.0,-0.05114219515931373,7.843137254901961E-5
1.078,167.0,95.25,-0.05114219515931373,6.862745098039217E-5
1.094,167.0,95.25,-0.05154670266544118,1.0784313725490196E-4
1.11,166.0,95.5,-0.05101773131127452,8.823529411764706E-5
1.127,165.25,96.0,-0.051297774969362754,1.2745098039215687E-4
1.143,164.5,96.0,-0.05136000689338236,1.764705882352941E-4
1.16,164.0,96.0,-0.05111107919730393,1.2745098039215687E-4
1.176,162.75,96.0,-0.051297774969362754,2.1568627450980392E-4
1.193,161.75,96.25,-0.051173311121323534,1.764705882352941E-4
1.209,160.75,97.0,-0.05114219515931373,1.666666666666667E-4
1.225,160.0,97.0,-0.05142223881740197,2.156862745098039E-4
1.242,159.25,97.0,-0.05114219515931373,1.6666666666666666E-4
1.258,159.0,98.5,-0.05114219515931373,1.8627450980392157E-4
1.274,158.75,99.0,-0.05120442708333334,1.8627450980392157E-4
1.291,158.5,98.75,-0.05151558670343138,1.5686274509803922E-4
1.307,158.0,99.0,-0.05136000689338236,1.8627450980392157E-4
1.323,157.75,99.0,-0.05142223881740197,1.0784313725490196E-4
1.34,157.0,99.75,-0.05098661534926471,1.5686274509803925E-4
1.356,157.0,100.0,-0.05098661534926471,9.803921568627452E-5
1.372,156.0,100.0,-0.05104884727328432,1.0784313725490197E-4
1.389,156.0,100.75,-0.05104884727328432,1.764705882352941E-4
1.404,155.75,101.0,-0.050799919577205886,1.176470588235294E-4
1.422,155.0,101.0,-0.05132889093137256,1.6666666666666666E-4
1.437,154.5,101.0,-0.05104884727328432,1.764705882352941E-4
1.454,153.75,103.75,-0.05104884727328432,1.5686274509803922E-4
1.47,153.0,102.0,-0.05142223881740197,2.352941176470588E-4
1.486,151.75,102.0,-0.0508932674632353,1.9607843137254904E-4
1.503,151.0,102.0,-0.05136000689338236,2.352941176470588E-4
1.519,149.75,102.5,-0.05111107919730393,2.352941176470588E-4
