time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.014,0.014,178.75,2553.5714285714284,-0.624522232755184,-0.025409294577205883
0.071,0.057,204.5,2643.9223057644112,-0.7392960136015642,-0.02572045419730392
0.088,0.017,204.0,2638.0399528232347,-0.73698950353863,-0.026062729779411764
0.104,0.016,204.5,2644.2899528232347,-0.7392960136015642,-0.026249425551470588
0.12,0.016,204.5,2644.2899528232347,-0.7392960136015642,-0.02547152650122549
0.137,0.017,204.0,84.83617131062951,-0.73698950353863,-0.025658222273284313
0.153,0.016,204.25,-2.3897058823529407,-0.7381421721079785,-0.026156077665441178
0.17,0.017,205.0,12.316176470588236,-0.7416072607388952,-0.026156077665441178
0.187,0.017,204.0,-5.698529411764705,-0.73698950353863,-0.025595990349264706
0.202,0.015,204.5,0.968137254901962,-0.7392960136015642,-0.025969381893382354
0.219,0.017,204.5,6.850490196078432,-0.7392960136015642,-0.025502642463235293
0.235,0.016,204.5,3.7254901960784323,-0.7392960136015642,-0.004779411764705883
0.251,0.016,205.0,1.1519607843137265,-0.7416072607388952,0.015445963541666666
0.268,0.017,205.0,12.916666666666668,-0.7416072607388952,0.01357900582107843
0.284,0.016,204.25,-3.125,-0.7381421721079785,0.014325788909313726
0.304,0.02,203.75,-8.125,-0.7358379965211894,0.00984509037990196
0.321,0.017,203.25,-14.00735294117647,-0.73353842154236,0.012738874846813724
0.337,0.016,202.75,-26.50735294117647,-0.7312433557544769,0.01248994715073529
0.354,0.017,202.0,-35.330882352941174,-0.7278090109876132,0.006235638786764704
0.37,0.016,200.75,-41.580882352941174,-0.7221063443003426,0.00352855009191176
0.387,0.017,199.5,-51.286764705882355,-0.7164289711149345,0.003466318167892152
0.403,0.016,198.0,-64.15441176470588,-0.7096474508437578,0.006391218596813721
0.419,0.016,195.5,-89.15441176470588,-0.6984142435882615,0.011774280024509802
0.436,0.017,191.5,-127.38970588235293,-0.6805948098374205,0.009440582873774507
0.452,0.016,186.5,-174.26470588235293,-0.658519517934814,0.00875603170955882
0.469,0.017,180.0,-236.02941176470586,-0.63,0.006048943014705877
0.485,0.016,174.0,-292.27941176470586,-0.603679269490148,0.00813371246936274
0.501,0.016,168.5,-329.77941176470586,-0.5794051901625796,0.005613319546568623
0.518,0.017,164.5,-329.77941176470586,-0.5615857564117385,0.00122596890318627
0.534,0.016,160.75,-314.15441176470586,-0.5447035967894182,-0.004219324448529416
0.55,0.016,157.5,-278.30882352941177,-0.5299025148547635,-0.0015433517156862788
0.567,0.017,153.5,-250.3676470588235,-0.5114296719664714,-0.0033169615502451023
0.583,0.016,149.5,-231.6176470588235,-0.49263075444410565,-0.0012321920955882394
0.6,0.017,147.0,-213.9705882352941,-0.48069585525225406,-4.231770833333376E-4
0.616,0.016,145.0,-192.0955882352941,-0.471036465452657,-4.854090073529455E-4
0.632,0.016,142.75,-179.5955882352941,-0.4600440982064342,3.547219669117604E-4
0.649,0.017,140.5,-159.0073529411765,-0.4489117330416646,-0.0012010761335784358
0.665,0.016,138.25,-137.1323529411765,-0.43763224990012517,-7.654526654411806E-4
0.682,0.017,135.75,-137.1323529411765,-0.424918568976252,-0.003068033854166671
0.698,0.016,134.0,-134.0073529411765,-0.41590097005079774,-0.0015433517156862784
0.714,0.016,132.5,-124.63235294117649,-0.4080916005215186,-8.588005514705923E-4
0.731,0.017,130.75,-118.75,-0.3988847476576074,-0.0014811197916666705
0.747,0.016,129.5,-106.25,-0.3922436875081581,-0.0017300474877451023
0.763,0.016,128.5,-89.33823529411765,-0.3868912235278621,-0.002912454044117651
0.78,0.017,127.25,-82.16911764705883,-0.3801503003801933,-0.003410309436274514
0.799,0.019,125.0,-87.10332817337462,-0.36787280664334876,-0.004592715992647063
0.817,0.018,122.5,-94.29287065703474,-0.3540087168719329,-0.004934991574754906
0.833,0.016,119.5,-116.16787065703474,-0.33705335439098494,-0.005806238511029415
0.849,0.016,116.25,-144.29287065703474,-0.3182809112299032,-0.006304093903186279
0.866,0.017,112.75,-170.76345889232886,-0.2975801457505678,-0.007548732383578435
0.882,0.016,109.5,-187.70424836601308,-0.2778962236638267,-0.008357747395833337
0.899,0.017,105.75,-204.0441176470588,-0.2546182854680471,-0.009166762408088239
0.915,0.016,102.0,-213.41911764705884,-0.23072214011007086,-0.0104425168504902
0.931,0.016,99.25,-207.16911764705884,-0.2127994549840348,-0.011593807444852946
0.948,0.017,96.75,-195.40441176470586,-0.19621026854323892,-0.013429649203431376
0.964,0.016,94.0,-189.15441176470586,-0.17763460753897362,-0.014207548253676474
0.981,0.017,92.0,-168.56617647058823,-0.16390862405286438,-0.015296606924019612
0.997,0.016,90.25,-143.56617647058823,-0.15174857210811016,-0.016510129442401964
1.013,0.016,89.0,-124.81617647058825,-0.14297715427345867,-0.017070216758578435
1.03,0.017,88.0,-107.16911764705883,-0.13590862405286436,-0.01647901348039216
1.046,0.016,88.0,-72.79411764705881,-0.13590862405286436,-0.017630304074754907
