time,delta,elbow_angle,elbow_velocity,elbow_torque
0.006,-22.678,109.75,0.5842666901843196,0.012081466619631364
0.079,0.073,175.0,179.35138997785555,-0.35854543142409456
0.096,0.017,176.25,194.0572723307967,-0.39125616975960037
0.112,0.016,176.0,190.9322723307967,-0.38806108611689316
0.13,0.018,176.0,190.9322723307967,-0.3914978670188475
0.149,0.019,176.0,190.3480056406124,-0.39394594574565056
0.165,0.016,176.0,11.580882352941178,-0.03659699328795513
0.182,0.017,176.0,-3.125,-0.00713210358207278
0.197,0.015,176.0,0.0,-0.01338210358207278
0.214,0.017,176.0,0.0,-0.01338210358207278
0.231,0.017,176.0,0.0,-0.01338210358207278
0.247,0.016,176.0,0.0,-0.01338210358207278
0.264,0.017,176.0,0.0,-0.01338210358207278
0.28,0.016,176.0,0.0,-0.01338210358207278
0.299,0.019,176.0,0.0,-0.01338210358207278
0.317,0.018,176.0,0.0,-0.01338210358207278
0.332,0.015,175.5,-6.666666666666667,5.1229751260553624E-5
0.349,0.017,176.0,-0.7843137254901968,-0.011700142797759053
0.365,0.016,175.5,-7.034313725490196,9.124062218487886E-4
0.382,0.017,176.0,-1.1519607843137258,-0.010832716327170819
0.398,0.016,176.0,-1.1519607843137258,-0.010814284954621799
0.414,0.016,176.0,5.51470588235294,-0.02423585358207278
0.431,0.017,176.0,-0.3676470588235297,-0.012464897699719838
0.447,0.016,176.0,5.88235294117647,-0.025059015346778665
0.467,0.02,176.25,2.5,-0.018344309464425723
0.484,0.017,175.75,-3.38235294117647,-0.006522103582072782
0.5,0.016,175.75,-3.38235294117647,-0.006467985935013958
0.517,0.017,175.75,-3.38235294117647,-0.006410485935013957
0.533,0.016,175.5,-6.507352941176469,-5.636828795513478E-5
0.55,0.017,175.75,-6.066176470588235,-8.355962291316035E-4
0.566,0.016,175.5,-3.3088235294117654,-0.006297360935013953
0.582,0.016,175.25,-6.433823529411765,5.5580241456635454E-5
0.599,0.017,176.0,2.389705882352941,-0.01763210358207278
0.615,0.016,176.0,5.51470588235294,-0.023970338876190427
0.631,0.016,176.0,2.5735294117647056,-0.01812916240560219
0.648,0.017,175.25,-3.125,-0.006678978582072779
0.664,0.016,176.0,9.375,-0.03182897858207278
0.681,0.017,176.0,0.5514705882352942,-0.014191294758543369
0.697,0.016,175.5,-5.698529411764706,-0.0016001182879551348
0.713,0.016,176.0,0.5514705882352942,-0.014108941817366898
0.73,0.017,175.25,0.5514705882352942,-0.014118316817366899
0.746,0.016,176.0,0.5514705882352942,-0.014127140346778663
0.762,0.016,176.0,0.5514705882352942,-0.014135963876190427
0.782,0.02,176.0,6.801470588235294,-0.026771993287955133
0.799,0.017,176.0,0.5514705882352942,-0.014281368287955135
0.816,0.017,176.0,9.375,-0.03208780211148454
0.832,0.016,176.0,0.0,-0.013337802111484547
0.848,0.016,175.5,-6.25,-7.378021114845465E-4
0.865,0.017,176.0,-0.3676470588235297,-0.012496257993837488
0.881,0.016,176.0,-0.3676470588235297,-0.012490375640896311
0.898,0.017,175.75,-3.3088235294117645,-0.006551772699719841
0.914,0.016,175.5,-6.433823529411765,-1.9883152324925123E-4
0.93,0.016,175.5,-0.1838235294117645,-0.012695890346778664
0.947,0.017,175.5,-6.066176470588235,-8.280594644257244E-4
0.963,0.016,176.0,0.18382352941176522,-0.01333100064089631
0.981,0.018,176.0,3.125,-0.019269603582072782
1.0,0.019,176.0,6.25,-0.02563835358207278
1.016,0.016,176.0,6.25,-0.025738353582072784
1.033,0.017,176.0,6.25,-0.025844603582072783
1.049,0.016,175.25,-9.375,0.005555396417927218
1.066,0.017,176.0,-0.5514705882352942,-0.012082287405602193
1.085,0.019,176.0,-0.5514705882352942,-0.012071809464425723
1.102,0.017,176.0,-0.5514705882352942,-0.012062434464425722
1.119,0.017,176.0,-0.5514705882352942,-0.012053059464425721
1.135,0.016,176.0,8.823529411764707,-0.03094423593501396
1.152,0.017,176.0,0.0,-0.013297177111484544
1.168,0.016,176.0,0.0,-0.013297177111484544
1.184,0.016,176.0,0.0,-0.013297177111484544
1.201,0.017,176.0,0.0,-0.013297177111484544
1.217,0.016,175.5,-6.25,-6.97177111484544E-4
1.237,0.02,176.0,-1.25,-0.010672177111484544
1.254,0.017,175.25,-10.073529411764707,0.007146131712044869
1.27,0.016,176.0,-0.6985294117647058,-0.011592691817366899
1.287,0.017,175.5,-6.580882352941177,2.8388906498604503E-4
1.303,0.016,176.0,5.919117647058824,-0.0248108168173669
1.319,0.016,176.0,0.9191176470588239,-0.014825522699719838
1.336,0.017,176.0,9.74264705882353,-0.03263820652324925
1.352,0.016,176.0,0.3676470588235297,-0.013894088876190428
1.369,0.017,175.5,0.3676470588235297,-0.013900338876190427
1.385,0.016,175.25,-9.00735294117647,0.004993778770868396
1.4,0.015,176.0,0.9926470588235297,-0.015021110935013956
1.417,0.017,176.0,0.9926470588235297,-0.015037985935013955
1.434,0.017,176.0,0.9926470588235297,-0.015054860935013955
1.45,0.016,176.0,6.875,-0.0269295668173669
1.466,0.016,176.0,10.0,-0.0333395668173669
1.482,0.016,176.0,0.0,-0.013339566817366897
1.499,0.017,175.5,-5.88235294117647,-0.0014748609350139566
1.515,0.016,176.0,0.3676470588235297,-0.013980743287955134
1.531,0.016,176.0,0.3676470588235297,-0.01398662564089631
