time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.023,0.023,219.0,1904.3478260869565,0.1,-0.026093845741421567
0.056,0.033,219.0,1904.3478260869565,0.1,-0.02537817861519608
0.072,0.016,219.0,1904.3478260869565,0.1,-0.025502642463235293
0.089,0.017,219.0,1904.3478260869565,0.1,-0.025751570159313727
0.105,0.016,219.0,1904.3478260869565,0.1,-0.025191482843137256
0.121,0.016,219.0,0.0,0.1,-0.02572045419730392
0.138,0.017,219.0,0.0,0.1,-0.02531594669117647
0.154,0.016,219.0,0.0,0.1,-0.02522259880514706
0.171,0.017,219.0,0.0,0.1,-0.02531594669117647
0.187,0.016,219.0,0.0,0.1,-0.02562710631127451
0.203,0.016,219.0,0.0,0.1,-0.026093845741421567
0.221,0.018,219.0,0.0,0.1,-0.025098134957107842
0.24,0.019,219.0,0.0,0.1,-0.025689338235294117
0.256,0.016,219.0,0.0,0.1,-0.025907149969362744
0.272,0.016,219.0,0.0,0.1,-0.023355641084558825
0.293,0.021,219.25,2.3809523809523805,0.1,-0.020648552389705883
0.31,0.017,219.75,8.26330532212885,0.1,-0.02117752374387255
0.325,0.015,219.0,-1.7366946778711494,0.1,-0.02587603400735294
0.342,0.017,219.0,-1.7366946778711494,0.1,-0.025689338235294117
0.359,0.017,219.0,-1.7366946778711494,0.1,-0.025907149969362744
0.374,0.015,219.0,-4.11764705882353,0.1,-0.0263427734375
0.392,0.018,219.0,-10.0,0.1,-0.025004787071078432
0.408,0.016,219.0,0.0,0.1,-0.026000497855392157
0.424,0.016,219.0,0.0,0.1,-0.02531594669117647
0.441,0.017,219.0,0.0,0.1,-0.026062729779411764
0.457,0.016,219.0,0.0,0.1,-0.02572045419730392
0.474,0.017,219.0,0.0,0.1,-0.026249425551470588
0.49,0.016,219.0,0.0,0.1,-0.025253714767156862
0.505,0.015,219.0,0.0,0.1,-0.02628054151348039
0.522,0.017,219.0,0.0,0.1,-0.025191482843137256
0.538,0.016,219.0,0.0,0.1,-0.02537817861519608
0.555,0.017,219.0,0.0,0.1,-0.026311657475490195
0.571,0.016,219.0,0.0,0.1,-0.0255337584252451
0.587,0.016,219.0,0.0,0.1,-0.026249425551470588
0.604,0.017,219.0,0.0,0.1,-0.02618719362745098
0.62,0.016,219.0,0.0,0.1,-0.02593826593137255
0.636,0.016,219.0,0.0,0.1,-0.024724743412990195
0.653,0.017,219.0,0.0,0.1,-0.026000497855392157
0.669,0.016,219.0,0.0,0.1,-0.026373889399509805
0.686,0.017,219.0,0.0,0.1,-0.026467237285539215
0.702,0.016,219.0,0.0,0.1,-0.02578268612132353
0.718,0.016,219.0,0.0,0.1,-0.026218309589460784
0.735,0.017,219.0,0.0,0.1,-0.025347062653186276
0.751,0.016,219.25,3.125,0.1,-0.02562710631127451
0.768,0.017,219.5,6.066176470588235,0.1,-0.025751570159313727
0.784,0.016,219.0,-0.18382352941176486,0.1,-0.02649835324754902
0.8,0.016,219.0,-0.18382352941176486,0.1,-0.02547152650122549
0.817,0.017,219.0,-0.18382352941176486,0.1,-0.02491143918504902
0.833,0.016,219.0,-3.3088235294117654,0.1,-0.02603161381740196
0.849,0.016,219.0,-6.25,0.1,-0.025440410539215686
0.866,0.017,219.0,0.0,0.1,-0.025253714767156862
0.882,0.016,219.0,0.0,0.1,-0.026218309589460784
0.899,0.017,219.0,0.0,0.1,-0.025564874387254903
0.915,0.016,219.0,0.0,0.1,-0.025969381893382354
0.935,0.02,219.0,0.0,0.1,-0.025191482843137256
0.952,0.017,219.0,0.0,0.1,-0.02603161381740196
0.968,0.016,219.0,0.0,0.1,-0.026249425551470588
0.985,0.017,219.0,0.0,0.1,-0.025564874387254903
1.001,0.016,219.0,0.0,0.1,-0.02537817861519608
1.017,0.016,219.0,0.0,0.1,-0.026000497855392157
1.034,0.017,219.0,0.0,0.1,-0.02643612132352941
1.05,0.016,219.0,0.0,0.1,-0.0255337584252451
1.067,0.017,219.0,0.0,0.1,-0.025564874387254903
1.083,0.016,219.0,0.0,0.1,-0.025751570159313727
1.099,0.016,219.0,0.0,0.1,-0.02628054151348039
1.116,0.017,219.0,0.0,0.1,-0.025440410539215686
1.132,0.016,219.25,3.125,0.1,-0.025751570159313727
1.148,0.016,219.25,3.125,0.1,-0.02578268612132353
1.165,0.017,219.75,9.00735294117647,0.1,-0.025440410539215686
1.181,0.016,219.0,-0.36764705882353044,0.1,-0.026311657475490195
1.198,0.017,219.5,5.514705882352939,0.1,-0.025409294577205883
1.214,0.016,219.0,-3.8602941176470593,0.1,-0.023075597426470588
1.23,0.016,219.25,-0.7352941176470594,0.1,-0.021084175857843137
1.247,0.017,219.25,-6.617647058823531,0.1,-0.02151979932598039
1.263,0.016,219.0,-0.3676470588235297,0.1,-0.025689338235294117
1.28,0.017,219.0,-6.25,0.1,-0.02587603400735294
1.296,0.016,219.0,0.0,0.1,-0.02618719362745098
1.312,0.016,219.0,-3.125,0.1,-0.02649835324754902
1.329,0.017,219.0,-3.125,0.1,-0.025751570159313727
1.345,0.016,219.0,0.0,0.1,-0.025160366881127452
1.361,0.016,219.0,0.0,0.1,-0.02522259880514706
1.378,0.017,219.0,0.0,0.1,-0.026124961703431374
1.394,0.016,219.0,0.0,0.1,-0.026062729779411764
1.411,0.017,219.0,0.0,0.1,-0.026093845741421567
1.427,0.016,219.0,0.0,0.1,-0.026156077665441178
1.443,0.016,219.0,0.0,0.1,-0.026218309589460784
1.46,0.017,219.0,0.0,0.1,-0.02537817861519608
1.476,0.016,219.0,0.0,0.1,-0.025284830729166666
1.493,0.017,219.0,0.0,0.1,-0.02562710631127451
1.509,0.016,219.0,0.0,0.1,-0.025284830729166666
1.525,0.016,219.0,0.0,0.1,-0.025689338235294117
1.542,0.017,219.0,0.0,0.1,-0.025347062653186276
1.558,0.016,219.0,0.0,0.1,-0.025347062653186276
1.574,0.016,219.0,0.0,0.1,-0.026218309589460784
1.591,0.017,219.0,0.0,0.1,-0.025564874387254903
1.607,0.016,219.0,0.0,0.1,-0.02572045419730392
1.624,0.017,219.0,0.0,0.1,-0.025813802083333334
1.64,0.016,219.0,0.0,0.1,-0.02537817861519608
1.656,0.016,219.0,0.0,0.1,-0.025689338235294117
1.673,0.017,219.0,0.0,0.1,-0.026218309589460784
1.689,0.016,219.0,0.0,0.1,-0.025969381893382354
1.705,0.016,219.0,0.0,0.1,-0.025844918045343137
1.722,0.017,219.0,0.0,0.1,-0.025969381893382354
1.738,0.016,219.0,0.0,0.1,-0.02593826593137255
1.754,0.016,219.0,0.0,0.1,-0.02628054151348039
1.77,0.016,219.0,0.0,0.1,-0.026000497855392157
1.787,0.017,219.0,0.0,0.1,-0.025907149969362744
1.804,0.017,219.0,0.0,0.1,-0.025813802083333334
1.82,0.016,219.0,0.0,0.1,-0.026467237285539215
1.836,0.016,219.0,0.0,0.1,-0.026156077665441178
1.852,0.016,219.0,0.0,0.1,-0.025564874387254903
1.869,0.017,219.0,0.0,0.1,-0.02578268612132353
1.885,0.016,219.25,3.125,0.1,-0.025689338235294117
1.901,0.016,219.0,0.0,0.1,-0.026218309589460784
1.918,0.017,219.0,0.0,0.1,-0.02531594669117647
1.934,0.016,219.0,0.0,0.1,-0.025751570159313727
1.95,0.016,219.0,0.0,0.1,-0.025129250919117645
1.967,0.017,219.0,-3.125,0.1,-0.02469362745098039
1.983,0.016,219.5,6.25,0.1,-0.021239755667892157
2.0,0.017,219.5,6.25,0.1,-0.01800369561887255
2.016,0.016,219.0,0.0,0.1,-0.024102424172794117
2.032,0.016,219.0,0.0,0.1,-0.026218309589460784
2.049,0.017,219.0,0.0,0.1,-0.02587603400735294
2.065,0.016,219.0,-6.25,0.1,-0.025440410539215686
2.081,0.016,219.0,-6.25,0.1,-0.025129250919117645
2.098,0.017,219.0,0.0,0.1,-0.025689338235294117
