time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.013,0.013,179.25,2757.6923076923076,0.6,-0.026000497855392157
0.074,0.061,205.0,2842.1185372005048,0.6,-0.020026233149509805
0.091,0.017,204.25,2833.29500778874,0.6,-0.025129250919117645
0.107,0.016,204.0,2830.17000778874,0.6,-0.026156077665441178
0.123,0.016,204.0,2830.17000778874,0.6,-0.025689338235294117
0.14,0.017,204.0,72.47770009643202,0.6,-0.0255337584252451
0.156,0.016,204.0,-11.948529411764707,0.6,-0.026405005361519608
0.173,0.017,204.0,-3.125,0.6,-0.02444469975490196
0.189,0.016,203.75,-3.125,0.6,-0.025347062653186276
0.205,0.016,203.25,-9.375,0.6,-0.02649835324754902
0.222,0.017,203.25,-9.375,0.6,-0.02562710631127451
0.238,0.016,203.0,-12.5,0.6,-0.02578268612132353
0.255,0.017,203.0,-12.5,0.6,-0.02562710631127451
0.271,0.016,203.0,-9.375,0.6,-0.026124961703431374
0.287,0.016,203.0,-3.125,0.6,-0.02618719362745098
0.308,0.021,203.0,-3.125,0.6,-0.02435135186887255
0.324,0.016,203.0,0.0,0.6,-0.021706495098039215
0.341,0.017,203.0,0.0,0.6,-0.018999406403186276
0.357,0.016,203.0,0.0,0.6,-0.02469362745098039
0.373,0.016,203.0,0.0,0.6,-0.02491143918504902
0.39,0.017,203.0,0.0,0.6,-0.026311657475490195
0.406,0.016,203.0,0.0,0.6,-0.02628054151348039
0.422,0.016,203.0,0.0,0.6,-0.025595990349264706
0.439,0.017,202.25,-8.823529411764707,0.6,-0.026467237285539215
0.455,0.016,203.0,0.5514705882352942,0.6,-0.025658222273284313
0.472,0.017,202.25,-8.272058823529411,0.6,-0.026467237285539215
0.488,0.016,202.5,-5.147058823529411,0.6,-0.02572045419730392
0.504,0.016,202.25,-8.272058823529411,0.6,-0.026218309589460784
0.521,0.017,202.0,-2.3897058823529407,0.6,-0.02572045419730392
0.537,0.016,202.0,-11.76470588235294,0.6,-0.026000497855392157
0.554,0.017,202.75,5.882352941176471,0.6,-0.025004787071078432
0.57,0.016,202.25,-3.492647058823529,0.6,-0.025409294577205883
0.586,0.016,202.75,5.882352941176471,0.6,-0.025844918045343137
0.603,0.017,202.0,0.0,0.6,-0.04323874080882353
0.619,0.016,202.5,6.25,0.6,-0.05997912837009805
0.635,0.016,203.0,3.6764705882352944,0.6,-0.05979243259803922
0.652,0.017,202.5,4.044117647058824,0.6,-0.0595746208639706
