time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
4.734,175.25,97.5,-0.030823471966911764,8.823529411764705E-5
4.755,176.0,98.0,-0.029889993106617645,6.862745098039217E-5
4.771,176.0,97.0,-0.06464652267156863,0.0013235294117647058
4.788,176.0,97.0,-0.07273667279411765,0.001568627450980392
4.804,176.0,97.0,-0.07472809436274509,6.862745098039217E-5
4.821,176.5,97.0,-0.07563045726102942,1.1764705882352942E-4
4.837,177.5,97.0,-0.07354568780637255,2.5490196078431374E-4
4.853,179.25,97.0,-0.0700607000612745,3.333333333333334E-4
4.87,182.25,97.0,-0.0612548828125,3.137254901960785E-4
4.886,185.5,97.5,-0.05462718290441177,2.4509803921568627E-4
4.902,189.0,98.0,-0.05101773131127452,3.03921568627451E-4
4.919,192.0,98.75,-0.04162071078431373,1.5686274509803922E-4
4.935,194.25,103.0,-0.045634669883578435,1.764705882352941E-4
4.952,196.5,100.0,-0.04351878446691177,3.9215686274509805E-5
4.968,199.0,101.0,-0.045416858149509805,1.0784313725490195E-4
4.984,201.75,101.0,-0.045136814491421574,9.803921568627452E-5
5.001,205.5,101.75,-0.042180798100490205,8.823529411764705E-5
5.017,208.5,102.0,-0.042336377910539215,1.666666666666667E-4
5.034,211.75,102.25,-0.047128236060049025,2.941176470588235E-5
5.05,215.25,102.75,-0.041651826746323534,9.803921568627452E-5
5.066,218.5,103.0,-0.0468793083639706,7.843137254901961E-5
5.083,221.75,103.0,-0.043767712162990205,4.901960784313726E-5
5.099,225.5,103.0,-0.04750162760416667,1.3725490196078434E-4
5.115,229.0,103.0,-0.043643248314950985,1.2745098039215687E-4
5.132,232.5,107.5,-0.04740827971813726,2.941176470588235E-4
5.148,236.5,103.0,-0.03994044883578432,4.0196078431372555E-4
5.165,240.25,103.25,-0.04501235064338236,4.0196078431372555E-4
5.181,243.0,103.25,-0.04675484451593138,3.1372549019607844E-4
5.197,246.75,104.0,-0.044047755821078435,2.4509803921568627E-4
5.214,250.5,104.0,-0.046319221047794124,1.9607843137254904E-4
5.23,253.5,104.0,-0.045043466605392164,2.352941176470588E-4
5.247,256.25,105.0,-0.04560355392156863,1.666666666666667E-4
5.263,259.25,105.25,-0.04824841069240197,1.3725490196078434E-4
5.279,262.0,109.0,-0.043767712162990205,1.3725490196078434E-4
5.296,264.75,118.25,-0.04526127833946079,9.803921568627452E-5
5.312,267.75,119.0,-0.04264753753063726,1.176470588235294E-4
5.328,270.75,119.25,-0.045665785845588246,5.882352941176471E-5
5.345,274.25,119.5,-0.04261642156862746,1.4705882352941175E-4
5.361,277.5,120.0,-0.04591471354166667,1.176470588235294E-4
