time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.008,-105.479,128.0,0.14031228965007253,0.5,-0.025595990349264706
0.069,0.061,205.0,252.5993286830927,0.5,-0.022515510110294117
0.086,0.017,205.0,252.5993286830927,0.5,-0.02285778569240196
0.102,0.016,205.25,255.7243286830927,0.5,-0.024102424172794117
0.118,0.016,205.0,252.5993286830927,0.5,-0.024226888020833334
0.135,0.017,205.0,252.4590163934426,0.5,-0.024071308210784313
0.151,0.016,205.0,0.0,0.5,-0.024662511488970588
0.167,0.016,205.25,3.125,0.5,-0.024258003982843137
0.184,0.017,206.0,8.823529411764707,0.5,-0.02419577205882353
0.199,0.015,206.0,11.948529411764707,0.5,-0.025098134957107842
0.216,0.017,206.0,11.948529411764707,0.5,-0.02491143918504902
0.232,0.016,205.75,8.823529411764707,0.5,-0.02506701899509804
0.248,0.016,205.0,-3.6764705882352944,0.5,-0.02587603400735294
0.265,0.017,205.0,-12.5,0.5,-0.02603161381740196
0.281,0.016,205.0,-12.5,0.5,-0.02587603400735294
0.298,0.017,205.75,-3.6764705882352944,0.5,-0.02484920726102941
0.314,0.016,205.0,-9.926470588235293,0.5,-0.025440410539215686
0.33,0.016,205.0,-0.5514705882352942,0.5,-0.024382467830882354
0.347,0.017,205.0,-0.5514705882352942,0.5,-0.024786975337009805
0.371,0.024,205.5,3.615196078431372,0.5,-0.02506701899509804
0.388,0.017,205.75,-2.267156862745099,0.5,-0.026373889399509805
0.404,0.016,205.0,-2.267156862745099,0.5,-0.026062729779411764
0.421,0.017,205.0,-2.267156862745099,0.5,-0.02618719362745098
0.437,0.016,205.5,3.982843137254901,0.5,-0.026156077665441178
0.453,0.016,205.0,-6.433823529411765,0.5,-0.026093845741421567
0.47,0.017,205.0,-9.375,0.5,-0.0263427734375
0.486,0.016,205.0,0.0,0.5,-0.02593826593137255
0.502,0.016,205.0,0.0,0.5,-0.025844918045343137
0.519,0.017,205.0,-6.25,0.5,-0.02531594669117647
0.535,0.016,205.0,0.0,0.5,-0.0255337584252451
0.552,0.017,205.5,5.88235294117647,0.5,-0.02656058517156863
0.568,0.016,206.0,12.13235294117647,0.5,-0.025409294577205883
0.584,0.016,205.5,5.882352941176469,0.5,-0.025813802083333334
0.601,0.017,206.0,11.764705882352938,0.5,-0.02628054151348039
0.617,0.016,205.25,2.3897058823529393,0.5,-0.026218309589460784
0.634,0.017,205.0,-6.433823529411765,0.5,-0.02537817861519608
0.65,0.016,205.5,-6.433823529411765,0.5,-0.026000497855392157
0.666,0.016,205.25,-3.3088235294117645,0.5,-0.025595990349264706
0.683,0.017,205.0,-12.13235294117647,0.5,-0.02572045419730392
0.699,0.016,205.0,-2.75735294117647,0.5,-0.025502642463235293
0.715,0.016,205.0,0.18382352941176486,0.5,-0.0255337584252451
0.732,0.017,205.5,-0.18382352941176486,0.5,-0.02572045419730392
0.748,0.016,205.5,2.941176470588235,0.5,-0.026311657475490195
0.764,0.016,205.75,9.00735294117647,0.5,-0.02531594669117647
0.781,0.017,205.25,3.124999999999999,0.5,-0.026093845741421567
