time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.014,271.0,73.25,-0.02587603400735294,1.9607843137254903E-5
0.034,310.0,82.25,-0.017101332720588235,2.254901960784314E-4
0.051,309.75,80.0,-0.002850222120098043,3.235294117647059E-4
0.067,309.5,80.0,-6.09872855392161E-4,3.0392156862745097E-4
0.084,309.75,80.0,-4.542930453431415E-4,3.03921568627451E-4
0.1,309.0,80.0,-2.67597273284318E-4,3.1372549019607844E-4
0.116,308.25,80.0,8.525773590686232E-4,3.529411764705882E-4
0.133,307.0,80.0,-2.67597273284318E-4,2.9411764705882356E-4
0.149,305.25,82.25,-0.0010766122855392199,2.9411764705882356E-4
0.166,303.0,82.5,0.0026261871936274464,3.235294117647059E-4
0.182,300.0,80.25,8.83693321078427E-4,2.843137254901961E-4
0.198,296.5,81.0,-2.6759727328431787E-4,3.235294117647059E-4
0.215,292.5,81.0,8.836933210784271E-4,3.03921568627451E-4
0.231,288.25,82.0,1.2446384803917323E-5,-5.8823529411764714E-5
0.247,283.25,82.0,-0.007113108915441181,-1.9607843137254903E-5
0.264,277.75,95.0,-0.006086282169117651,8.823529411764706E-5
0.28,272.5,95.0,-0.008917834712009808,1.9607843137254903E-5
0.297,265.75,95.75,-0.00957126991421569,9.80392156862745E-5
0.313,260.0,96.5,-0.009975777420343142,1.0784313725490196E-4
0.329,255.5,97.0,-0.012869561887254907,3.9215686274509805E-5
0.346,251.0,98.0,-0.014923215379901964,1.0784313725490196E-4
0.362,246.5,98.0,-0.011313763786764712,1.9607843137254903E-5
0.378,242.5,98.0,-0.015358838848039218,1.9607843137254903E-5
0.395,238.25,98.0,-0.015545534620098042,9.803921568627452E-5
0.411,234.0,98.0,-0.01386527267156863,9.803921568627452E-5
0.428,229.5,98.0,-0.01069144454656863,1.0784313725490196E-4
0.444,225.25,98.25,-0.01156269148284314,8.823529411764705E-5
0.46,221.25,98.5,-0.010504748774509808,2.941176470588235E-5
0.477,217.5,98.5,-0.012309474571078435,6.862745098039217E-5
0.493,213.5,98.75,-0.014674287683823534,5.88235294117647E-5
0.51,208.5,99.0,-0.016759057138480395,6.862745098039216E-5
0.526,204.5,99.0,-0.01703910079656863,6.862745098039217E-5
0.542,200.5,100.0,-0.01794146369485294,1.9607843137254903E-5
0.559,196.5,99.0,-0.020057349111519608,3.9215686274509805E-5
0.575,192.5,99.0,-0.019964001225490195,5.88235294117647E-5
0.591,188.5,99.5,-0.021488683363970588,5.88235294117647E-5
0.608,184.5,100.0,-0.023231177236519608,5.882352941176471E-5
0.624,182.0,100.0,-0.022951133578431374,2.941176470588235E-5
0.641,179.25,100.0,-0.02469362745098039,3.9215686274509805E-5
0.657,176.25,100.0,-0.026156077665441178,3.9215686274509805E-5
0.673,173.5,100.0,-0.026467237285539215,2.941176470588235E-5
0.69,171.5,100.0,-0.026685049019607842,3.9215686274509805E-5
0.706,169.0,100.0,-0.027556295955882354,2.941176470588235E-5
0.722,166.75,101.5,-0.028054151348039215,4.901960784313726E-5
0.739,165.25,100.0,-0.02904986213235294,-9.803921568627451E-6
0.755,163.5,100.0,-0.029796645220588235,2.941176470588235E-5
0.772,162.25,100.0,-0.031227979473039215,4.901960784313726E-5
