time,delta,elbow_angle,elbow_velocity,elbow_torque
0.014,-27.836,178.25,-1.2807156200603536,-0.006107702641964532
0.075,0.061,178.5,-0.4610434889128127,-0.005235389661574685
0.098,0.023,178.5,-0.4610434889128127,-0.005235389661574685
0.116,0.018,178.25,-3.2388212666905907,-0.006107702641964532
0.133,0.017,178.75,2.6435316744858794,-0.0043629770069121545
0.149,0.016,179.0,7.049247294546234,-0.003490481287456688
0.165,0.016,178.25,-3.1454248366013067,-0.006107702641964532
0.182,0.017,178.5,-0.20424836601307278,-0.005235389661574685
0.198,0.016,178.5,2.573529411764705,-0.005235389661574685
0.215,0.017,178.5,-3.3088235294117654,-0.005235389661574685
0.231,0.016,178.25,-9.558823529411764,-0.006107702641964532
0.247,0.016,179.0,9.191176470588236,-0.003490481287456688
0.268,0.021,178.75,3.869047619047619,-0.0043629770069121545
0.288,0.02,178.75,3.869047619047619,-0.0043629770069121545
0.305,0.017,179.0,6.810224089635854,-0.003490481287456688
0.321,0.016,178.25,0.5602240896358545,-0.006107702641964532
0.337,0.016,178.5,-5.689775910364146,-0.005235389661574685
0.354,0.017,178.25,-6.25,-0.006107702641964532
0.37,0.016,178.5,-3.1249999999999996,-0.005235389661574685
0.388,0.018,178.75,-3.288398692810457,-0.0043629770069121545
0.406,0.018,178.0,-2.2467320261437913,-0.00697989934050014
0.423,0.017,178.5,0.5106209150326784,-0.005235389661574685
0.44,0.017,178.5,3.451797385620914,-0.005235389661574685
0.456,0.016,178.5,0.32679738562091387,-0.005235389661574685
0.472,0.016,178.0,-8.700980392156865,-0.00697989934050014
0.489,0.017,178.75,8.455882352941178,-0.0043629770069121545
0.505,0.016,179.0,5.698529411764706,-0.003490481287456688
0.521,0.016,178.25,-3.6764705882352944,-0.006107702641964532
0.538,0.017,178.5,-0.7352941176470594,-0.005235389661574685
0.554,0.016,178.75,8.63970588235294,-0.0043629770069121545
0.57,0.016,178.5,-3.3088235294117654,-0.005235389661574685
0.586,0.016,178.75,-3.3088235294117654,-0.0043629770069121545
0.603,0.017,178.5,3.125,-0.005235389661574685
0.619,0.016,178.25,-2.9411764705882346,-0.006107702641964532
0.636,0.017,178.75,-0.1838235294117645,-0.0043629770069121545
0.654,0.018,178.25,-2.6143790849673203,-0.006107702641964532
0.672,0.018,178.5,-2.961601307189543,-0.005235389661574685
0.689,0.017,178.5,-0.02042483660130756,-0.005235389661574685
0.705,0.016,178.75,6.229575163398692,-0.0043629770069121545
0.721,0.016,178.25,-5.902777777777778,-0.006107702641964532
0.738,0.017,178.5,2.593954248366013,-0.005235389661574685
0.754,0.016,178.5,-0.18382352941176522,-0.005235389661574685
0.771,0.017,179.0,5.698529411764706,-0.003490481287456688
0.787,0.016,178.5,-3.6764705882352944,-0.005235389661574685
0.803,0.016,178.75,5.698529411764706,-0.0043629770069121545
0.82,0.017,178.25,-3.125,-0.006107702641964532
0.836,0.016,178.75,3.125,-0.0043629770069121545
0.853,0.017,178.5,-5.698529411764706,-0.005235389661574685
0.869,0.016,178.5,0.5514705882352946,-0.005235389661574685
0.885,0.016,178.75,0.5514705882352946,-0.0043629770069121545
0.902,0.017,178.5,3.4926470588235303,-0.005235389661574685
0.918,0.016,178.75,0.3676470588235297,-0.0043629770069121545
0.934,0.016,178.5,0.18382352941176486,-0.005235389661574685
0.951,0.017,178.75,3.125,-0.0043629770069121545
0.967,0.016,178.5,-3.125,-0.005235389661574685
0.984,0.017,178.75,2.7573529411764697,-0.0043629770069121545
1.0,0.016,178.25,-6.617647058823531,-0.006107702641964532
1.016,0.016,178.5,-0.36764705882353005,-0.005235389661574685
1.033,0.017,178.25,-6.25,-0.006107702641964532
1.049,0.016,179.0,6.25,-0.003490481287456688
1.066,0.017,178.25,-5.514705882352942,-0.006107702641964532
1.082,0.016,179.0,10.11029411764706,-0.003490481287456688
1.098,0.016,178.5,0.7352941176470594,-0.005235389661574685
1.115,0.017,178.5,3.6764705882352944,-0.005235389661574685
