time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.072,-10.28,137.0,1.595330739299611,0.2,-0.03913143382352941
0.07,-0.002,219.0,-8198.4046692607,0.2,-0.020368508731617645
0.087,0.017,218.75,-8201.34584573129,0.2,-0.021955422794117645
0.103,0.016,218.75,-8201.34584573129,0.2,-0.025347062653186276
0.119,0.016,219.0,-8198.22084573129,0.2,-0.02578268612132353
0.136,0.017,219.0,-8199.81617647059,0.2,-0.026093845741421567
0.152,0.016,218.75,-2.9411764705882346,0.2,-0.024382467830882354
0.169,0.017,218.75,0.0,0.2,-0.025191482843137256
0.185,0.016,219.0,3.125,0.2,-0.025813802083333334
0.201,0.016,219.0,0.0,0.2,-0.025969381893382354
0.218,0.017,219.0,0.0,0.2,-0.02578268612132353
0.234,0.016,219.0,3.125,0.2,-0.025564874387254903
0.25,0.016,218.25,-6.25,0.2,-0.025844918045343137
0.267,0.017,219.0,-0.5514705882352942,0.2,-0.02562710631127451
0.283,0.016,219.0,-0.5514705882352942,0.2,-0.026311657475490195
0.299,0.016,218.5,-6.801470588235294,0.2,-0.02537817861519608
0.316,0.017,218.5,-6.801470588235294,0.2,-0.0255337584252451
0.332,0.016,219.0,8.823529411764707,0.2,-0.025595990349264706
0.349,0.017,219.0,0.0,0.2,-0.02572045419730392
0.365,0.016,219.0,0.0,0.2,-0.025658222273284313
0.381,0.016,219.0,6.25,0.2,-0.025409294577205883
0.398,0.017,219.0,6.25,0.2,-0.022391046262254903
0.414,0.016,219.0,0.0,0.2,-0.020057349111519608
0.431,0.017,219.0,0.0,0.2,-0.023417873008578432
0.446,0.015,219.0,0.0,0.2,-0.025689338235294117
0.462,0.016,218.5,-6.25,0.2,-0.026311657475490195
0.479,0.017,219.0,-0.3676470588235297,0.2,-0.026124961703431374
0.495,0.016,219.0,-0.3676470588235297,0.2,-0.025160366881127452
0.512,0.017,219.0,-0.3676470588235297,0.2,-0.025907149969362744
0.528,0.016,218.75,-3.49264705882353,0.2,-0.02593826593137255
0.544,0.016,218.5,-0.3676470588235297,0.2,-0.02603161381740196
0.561,0.017,219.0,-0.3676470588235297,0.2,-0.025969381893382354
0.578,0.017,219.0,-0.3676470588235297,0.2,-0.02587603400735294
0.594,0.016,219.0,-0.3676470588235297,0.2,-0.02348010493259804
0.61,0.016,219.0,2.75735294117647,0.2,-0.019964001225490195
0.626,0.016,219.0,5.88235294117647,0.2,-0.02173761106004902
0.643,0.017,219.0,0.0,0.2,-0.026529469209558825
0.659,0.016,219.0,0.0,0.2,-0.026405005361519608
