time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
0.006,-31.239,93.75,1.0003521239476296,0.5,-0.025813802083333334
0.067,0.061,250.0,513.2954340911607,0.5,-0.026093845741421567
0.084,0.017,250.0,513.2954340911607,0.5,-0.026311657475490195
0.1,0.016,250.0,513.2954340911607,0.5,-0.02572045419730392
0.116,0.016,249.5,507.0454340911607,0.5,-0.026249425551470588
0.133,0.017,250.0,511.92743490838956,0.5,-0.02531594669117647
0.149,0.016,250.0,-0.3676470588235297,0.5,-0.025347062653186276
0.165,0.016,250.0,-0.3676470588235297,0.5,-0.025595990349264706
0.182,0.017,250.0,-0.3676470588235297,0.5,-0.02603161381740196
0.198,0.016,250.0,5.88235294117647,0.5,-0.025751570159313727
0.215,0.017,250.0,0.0,0.5,-0.02593826593137255
0.231,0.016,250.0,0.0,0.5,-0.025409294577205883
0.247,0.016,250.0,0.0,0.5,-0.026373889399509805
0.264,0.017,250.0,0.0,0.5,-0.025595990349264706
0.28,0.016,250.0,0.0,0.5,-0.02572045419730392
0.298,0.018,250.0,0.0,0.5,-0.0255337584252451
0.317,0.019,250.0,0.0,0.5,-0.02593826593137255
0.333,0.016,250.0,0.0,0.5,-0.026000497855392157
0.35,0.017,250.0,0.0,0.5,-0.026311657475490195
0.366,0.016,250.0,0.0,0.5,-0.026000497855392157
0.383,0.017,250.0,0.0,0.5,-0.026000497855392157
0.399,0.016,250.0,0.0,0.5,-0.026218309589460784
0.415,0.016,250.0,0.0,0.5,-0.026373889399509805
0.432,0.017,250.0,0.0,0.5,-0.025689338235294117
0.448,0.016,250.0,0.0,0.5,-0.026000497855392157
0.464,0.016,250.0,0.0,0.5,-0.026156077665441178
0.481,0.017,250.0,0.0,0.5,-0.02547152650122549
0.497,0.016,250.0,0.0,0.5,-0.026000497855392157
0.514,0.017,250.0,0.0,0.5,-0.025129250919117645
0.53,0.016,250.0,0.0,0.5,-0.025253714767156862
0.546,0.016,250.0,0.0,0.5,-0.025502642463235293
0.563,0.017,250.0,0.0,0.5,-0.025253714767156862
0.579,0.016,250.0,0.0,0.5,-0.026218309589460784
0.596,0.017,250.0,0.0,0.5,-0.025907149969362744
0.612,0.016,250.0,0.0,0.5,-0.025564874387254903
0.628,0.016,250.0,0.0,0.5,-0.02618719362745098
0.645,0.017,250.0,0.0,0.5,-0.025751570159313727
0.661,0.016,250.0,0.0,0.5,-0.02572045419730392
0.677,0.016,250.0,0.0,0.5,-0.026000497855392157
0.694,0.017,249.75,-2.941176470588235,0.5,-0.02649835324754902
0.71,0.016,250.0,0.18382352941176486,0.5,-0.026124961703431374
0.727,0.017,250.0,0.18382352941176486,0.5,-0.026062729779411764
0.743,0.016,250.0,0.18382352941176486,0.5,-0.025658222273284313
0.759,0.016,250.0,0.18382352941176486,0.5,-0.025564874387254903
0.776,0.017,250.0,3.125,0.5,-0.025564874387254903
0.792,0.016,250.0,0.0,0.5,-0.026124961703431374
0.809,0.017,250.0,0.0,0.5,-0.02587603400735294
0.825,0.016,250.0,0.0,0.5,-0.0255337584252451
0.841,0.016,250.0,0.0,0.5,-0.026467237285539215
0.858,0.017,250.0,0.0,0.5,-0.02572045419730392
0.874,0.016,250.0,0.0,0.5,-0.025409294577205883
0.89,0.016,250.0,0.0,0.5,-0.025658222273284313
0.907,0.017,250.0,0.0,0.5,-0.025658222273284313
0.923,0.016,250.0,0.0,0.5,-0.02562710631127451
0.94,0.017,250.0,0.0,0.5,-0.026685049019607842
0.956,0.016,250.0,0.0,0.5,-0.02537817861519608
0.972,0.016,250.0,0.0,0.5,-0.02537817861519608
0.989,0.017,250.0,0.0,0.5,-0.025440410539215686
1.005,0.016,250.0,0.0,0.5,-0.02572045419730392
1.024,0.019,250.0,0.0,0.5,-0.025191482843137256
1.041,0.017,250.0,0.0,0.5,-0.026249425551470588
1.057,0.016,250.0,0.0,0.5,-0.026156077665441178
1.074,0.017,250.0,0.0,0.5,-0.025595990349264706
1.091,0.017,250.0,0.0,0.5,-0.02572045419730392
1.107,0.016,250.0,0.0,0.5,-0.025347062653186276
1.123,0.016,250.0,0.0,0.5,-0.025751570159313727
1.14,0.017,250.0,0.0,0.5,-0.02587603400735294
1.156,0.016,250.0,0.0,0.5,-0.0255337584252451
